category,text
None-of-the-above,@Ayy Ar  enna machi seiyaringa. Romba busya..
None-of-the-above,Neenga romba azhaga irukinga sister
None-of-the-above,Part2 pod u ga nanba
None-of-the-above,Antha  Akkavitgaka  like pannuran 👨‍👩‍👧💑👨‍👩‍👧‍👧
Transphobic-derogation,Venkat Raman ; 9 punda jinjuk poda vanthutan
None-of-the-above,Akka love u akka oru Thambi aaa
None-of-the-above,Ur acting 🔥 jiii
None-of-the-above,Unga  found san members add me
None-of-the-above,Unna mathalam venam nee apdithan iruka pakkurathuku
None-of-the-above,Velakaran ena follow panrano avan pana slrano ilayo atha pride ninachutu mooditu getukaga follow panra puthi namakita Dan da iruku😁😁😁...Pesura arivu jeevigal lam nalu English putukadha menjitu vanthu insta status potu sutuhura koshtikagal than. Anyway valthukal progressive society sluvinga ena karumami panitu  ponga
Transphobic-derogation,Pichai edukkum thirunangai galey rosathia unga ullsppuuley varey kasukku vangi sapta nyayam.
None-of-the-above,Ama unamai sister nice
Homophobic-derogation,media nalla visiyankaluku eppavum irantam tharama than pakkarathu.ithu pola visiyankaluku  highlight panni society melum kelaiye poyutu iruku.pls nall visiyankaluku support pannunga
Hope-Speech,God bless you ma
None-of-the-above,@Manimozhi P  👌👌👌👌
None-of-the-above,"Siva Pradeep.b ,nee adhuva nu sollitu poi paru."
None-of-the-above,Super nice pa 😭👍🤝
None-of-the-above,Population ketu podium friend
None-of-the-above,Sasi Kumar ama bro😂😂
Homophobic-derogation,"swetha k ,boys kitta irruthavathu girls thappika vali irruku,ana unna Mari lesbian Ava kudave uttkarnthu  Ava koodave bathroom poi ,thappu Mela thappu panni chee,vekkama illa panni kuttame."
None-of-the-above,Are you tamil
None-of-the-above,@sreekanth  well said bro..
None-of-the-above,I love you💖
None-of-the-above,Nice bro enaku romba pudichi iruku
None-of-the-above,karthick mani soothaa modu
Hope-Speech,God Bless U Akka💓💓💓💓😍😍😍💓💓💓
None-of-the-above,Yenna ithungalukkullaye sandai pottukkuthunga
None-of-the-above,😭😭 super akka 😭😭 support puninka frnds thirunankiyika elorikuma support puninka 🙏🙏🙏
None-of-the-above,Oruthan Vanthu perusan paru avan athuingkaloda aalatha erupan kandipa
None-of-the-above,Ithu pesi vachi panraru
Counter-speech,@shinchan shinchan  eppadi pavam sollenda naan ponnu paiyan endru ninaichukkatha. Antha kadavule shiva sakthiye aravani deivam than. Yaaru sonna pavam endru. Unakku ethavathu distrub agutha.?
None-of-the-above,Hii super bro
None-of-the-above,U r soo sweet sennila
None-of-the-above,"@Ayy Ar  why bro, enna achi  unggalukku.tidirnu message panrata stop pannitinga.ennai pudikkalaiya.etuva iruntalum na unga mela vacha  natpu unmaiyanatu.i am waiting for your message. I love you again my sweet heart."
Homophobic-derogation,Pongada parathesigala it's very very very wrong itha panravanga pichakara karumanga....
Transphobic-Threatening,Oda vittutu soothula okkanum ivalungala
None-of-the-above,Dai thavidiya paiya unaku vera concept illaya da avangala yan da kasta paduthura ....eacha thumma unaku views subscribe ka yan da dai thaippu da ethu ...
None-of-the-above,Eppaditha pannraga na kuda paththu eruka chiii
None-of-the-above,I love bixe sex
Hope-Speech,Sema human being antha akka.....At a kind heart.....
None-of-the-above,Ok mr gay
None-of-the-above,No such incidents here at Kerala. Here transgenders are decent.
None-of-the-above,Super Anna 👌
Hope-Speech,Melting bro really super !!! Thirunangaigal feelings ah apdiye real panirukinga Crying varudhu bro !! Respect Thirunangaigal ❤️
Counter-speech,"@Intellectual Indian  correct ah culture, science & history ah padichutu pesanum thambi..  Arakoraiya padichutu olara kudathu... LGBTQ elame America la irundhu varala.. Athu kaalam kaalama irundhutu dha iruku.. Ungaluku athu theriyala.. avlodha..  & also it's not against nature.. Go and surf it.."
None-of-the-above,Bro unaku thareyala
None-of-the-above,Personal questions ieruku enaku if u don't mine can I talk u
None-of-the-above,Andha Amma sonnadhuku meaning rendu per kalyanam panradhu pulla pethukradhu! So kadaisi varaikum onna vaazhradhuku illaya?? Indha comments la andha Amma ku support pannavanga lam idha konjam yosichu paarunga pa! Unga husband oh illa wife ko edho problem la kolandha porakaadhu nu doctor sonna unga husband/wife ah vittutu poiduveengala??
None-of-the-above,Enna thalaiva ipdi panita romba Feel panita thalaiva 👌👌👌
None-of-the-above,@Anitha Anitha  ethu Eppa d kaama unaru Ahum
None-of-the-above,@Chen Nila  call panne
None-of-the-above,Praveen kumar naanga apd than...; Nanga tamila ...tamilaum tamil culturayum protect panrathu engaloda duty...
None-of-the-above,Kavalaigal maranthu sirikka Tamil Medium Pasanga Channel ❤️........worldaa yarum panni pakatha prank🙏🙏........vera level bro ne😘😘........ waiting part2👍👍
None-of-the-above,avinash Rahul Fkkkk off🖕🏼
None-of-the-above,Love you so much sisy 😍
None-of-the-above,#90's kids mind voice : Ippovey Ponnu kedaika  maatingudhu idhula idhu veraayaa
None-of-the-above,Ponnu maathiyea thaanya iruku
None-of-the-above,Bro nengga Vera level super bro👍👍👍
None-of-the-above,Semaaa... Thirunangaigal mela migavumariyadahai ulathu...
Hope-Speech,Negal unga life unga virupapadi valunga..athu than magilchyai tharum
Hope-Speech,Thirunangai ku erukura manasu yaruku eruku
None-of-the-above,Thala vali ipa woraiyur layum
None-of-the-above,@Vishwa  apdingala sir ..semma shocking news pah..
None-of-the-above,"@Ayy Ar  chellam neraiya tadava no anuppiten dear, en vantu  seramaddutunu teriyala. En no sent panna maddutu,ore kulappama irukku machi."
None-of-the-above,Akka ungala madhiri oruthavangala na en valkaila paathadhey kidaiyadhu neenga romba nalavanga akka neenga unmaiyavey ninga oru ponnu dhan enakku aluga varudhu akka
None-of-the-above,video super lastla helping video kaga I'm new subscriber Bro. 😍
None-of-the-above,Yoooo vera level ya 😢😢😢
Homophobic-derogation,Kolai Seibavan Kooda avanukku oru niyayam vaithiruppaan. Adhanaal avan seivadhu sari illai.
None-of-the-above,Prabhu yethuku ipdi vilunthu vaari varaan 😂🤣
None-of-the-above,Tq bro 😁
None-of-the-above,Andha akka ungala samy nu sonnagala ana unmaiya andha akka manasukku avnga dha Samy neenga dhan avangala Samy nu kupudanum
None-of-the-above,Anna neega nalla hard work pannrainga kandippa periya screenla Vara all the best
None-of-the-above,Enna pa muslim christian hindhu yella solli yachu
None-of-the-above,Ippo kandu pudich enna Panna poringa🙄
Hope-Speech,Definite aah Na oru transgender aah adopt pannuven... illa enake oru transgender babe porandha kandipa valapen
None-of-the-above,"Akka,ningge semme cute n alagu kaa..😘😘😘😘🤗🤗😘🤗😘🤗"
None-of-the-above,Pesurathula nallatha irukku aana pesura visayamtha nalla illa
None-of-the-above,Akka nenga ella roomba pavam akka 😭😭😭
None-of-the-above,Ne mulaia katikitu va nu koopduva
None-of-the-above,"swetha k ,ethanai kovil sirpathula irruku,ore oru madabam la irruku...; Ana kovil sami appadi illaye , Ella kovil layum appadi illaye..?"
None-of-the-above,Malini super speech pls Malini uaga partner yaru we want see him bcos neaga paka so blodness
Hope-Speech,God bless u akka
None-of-the-above,Super bro 💪
Counter-speech,anbana nanbargale homo sex pathi dan pesureenga padukura vishayam matum dan life ahh sollunga nalla natpudan life long irukalam iduku udal uravu avasiyam illai ada yen oor ina serkaya pakureenga namma ennangal ore madiri irunda podum nan enna solren appadina kamam ma pakama irunda podum
None-of-the-above,"Super macha ,avungalkkum nalla ethayam erekk"
None-of-the-above,@Ayy Ar  i thing code nombar join seiyanumnu ninaikiren bro.
Homophobic-derogation,Intha saniyanaaa pethavaluku sorgam kedaikaathu ithu kutti sevura porathu pathaama elaarayume kedukuthu
None-of-the-above,Super Nenga semaya pesaringa
Hope-Speech,Akka nega nala irukanu love u
None-of-the-above,Ipdi oru channel na Vaal naal la paathathu Ila.. harts of guys... And intha video paatha aprm  Thirunangai avanga Mela oru Mariyathai vanthuruchu.. 🙏🙏 Nenga nalla irukanum Amma 🙏🙏👍👍
None-of-the-above,@Manikandan Govindhaswamy  Mon kita sonnen
None-of-the-above,Avarun Sivam unakku apdii oru kolandha thaanda porakkum apo kandu pudii ponna paiiyananu otha chiii unarvugal la purenjukadha kaatuu mirandii mirugam kaminatti
None-of-the-above,@rajeshs  OK da
None-of-the-above,Yedukurathu pitcha ithula thimuru vera ivanguluku
None-of-the-above,"Bharath kumar Nee palanikke paal kudam yeduthalum,  Andha ponna crct panna mudiyadhe...... 😂"
Transphobic-derogation,Aravanikalai odukka vendum....romba pannuthunga
None-of-the-above,"Nice thiru nangai,"
None-of-the-above,1:19appo athukkuthan unkalukku ponnunga theva illaiya sir
None-of-the-above,Super bro eppo prank panrannu sollittu love lettar aha thookittu ponnungala kindel panrathu comedy ngra perla  erichal adaya seirathu ellama neenga difrenta pannunga bro all the best
None-of-the-above,Dislike panna epdi tha manasu varudho 😏
Homophobic-Threatening,Poda hiv vantha naye . Dai evanugala petti edukara ungala thanda first adikanum. Enamo ulaga sathana panna mathiri pesitu erukan . Vaila nalla asingasiga varthu intha video va first youtup la erunthu edungada  ....
Counter-speech,Avanka pavam Nama Avankalukku yethachu pannanum but Nalla thirunankaikku
None-of-the-above,I love you so much da 😘😘😘😘😘
Counter-speech,Vera level thirunagai oda thaai pasam idhan kashtam onu na vitutu than povanga normal ah iruka manushan kuda help pana maatan dedicate to all thirunagai pls respect panuga kevalama pakathiga
None-of-the-above,Super di chellam
None-of-the-above,@Ayy Ar  wow appadiye vayileye adichi vidunga.fulla kudicci mudicciduren.semma tast  machi.enakkum  ippo viliaga pogutu dear.
Homophobic-derogation,Pode thevidiya Munda.. kaalaacharatha keduka vandha naai. Tamil manoda arumai theriyama pesitu iruka. Idhu iyarkaiku against aana vishayamum kooda. Periya thyagi Mari pesuraa. Poi ungomaa kooda lesbian iru.
None-of-the-above,Alugaiya varuthu anna avanga la mari uruvathula kadaval irukanga😭😭😭😭😭
Homophobic-derogation,UNGA AMMA ENNORUTHA AMMAVODA SEX KAAGA IPA OODI PONA OK VA .ILA COURTLA POI UNGA AMMAVAIUM ENNORUTHAVANGA AMMAVAIUM SEATHU VAIPIYA
None-of-the-above,Super super speech akka 💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡
None-of-the-above,Vendam verupa show pandra mari pandran entha aalu ..serial actress ah iruntha vera mari pannvaru ..
None-of-the-above,Yov part 2 yeppoyaa varum
Counter-speech,jaf ran  support pandravanga ellam gay illada mental
None-of-the-above,Super ya ...rompe help panunka rompa nalla irupinga
Transphobic-derogation,Yaandi pottaigala unga rendu groupku sollaren adaavadi venaam
None-of-the-above,"@Ayy Ar  kanji out agum botu  ulla sugam,wow solla vartaye illa bro."
None-of-the-above,Supper thalaiva vera level
None-of-the-above,Azhaga iruka ma
Homophobic-derogation,Pooda thevdiya potta punda
Hope-Speech,Transgender nu Sonna namba mutiyala pa aptiye she is looking for girl😱
None-of-the-above,ivangalaa   police la   pidichikodukanum
Counter-speech,Inthu avangaloda feelings ungaluku la easy solitu poiduvinga ivory feelings evlo vali yodum vethaniya erukum super sir I love this movie
None-of-the-above,@Ananya Annu  tnq sister
None-of-the-above,Vera level Anna nee semma men women thirunangai nu Thani Thani ya pirichi pesama irunga we all r human.........hands of u TMP
None-of-the-above,Super g semma illathavanghulu kutunga avanga pavam avanghalu sapatu potunga g
Hope-Speech,Always transgender... good human
None-of-the-above,Enake azaga varudu 😭😭😭😭😭
Transphobic-Threatening,"Kuda poravanuga full ah ombodhu pasanga la da ,..adichu verattama pongal thinna mathiri ukanthu irukanuga"
None-of-the-above,Mapla totally dif da avanga manasa pakkumbodhu kan kalangitenda ❤️
None-of-the-above,Anna Avanga Really Great Anna Yarune theriyadha ungaluku avanga avalavu Help panni irukanga kandipa Avanga Great anna
None-of-the-above,Broooo first time I seeing your video ......love you brooooooooooooooooooooo
None-of-the-above,Super Anna 👌
Homophobic-derogation,Judge sir avana nee😂😂
Homophobic-derogation,Epdiyo poi tholainga !!! Ipo unak enna vaenum sex pananum panika !!!
None-of-the-above,Meera mitun is a transgender??
None-of-the-above,Ada thiruddu naye
None-of-the-above,I love you so much❤❤❤
None-of-the-above,Police dvd pasangaluku ithuellam kannuku theriyatha
None-of-the-above,Cheeee ipad oru news pakurathe kevalam 🙄🙄🤗🤗🤗🤗
None-of-the-above,"@Ayy Ar  no dear, don't thing about that,nettu malaiyile nanaingiccutten bayangarama fivar maramatiri irunttatu.atan nalla paduttu tungitten.ippo OK.uyir pirintalum unai piriyata varam onru peravendum.atutan unmaiyana natpirku adaiyalam.i miss you so much, I love you baby. Why bro unga kuda chatpannikittu irukkum bote full temp agi moodagidutu.unga kitta appadi oru kanta sakti irukunu ninaikiren.velaiku kilambiyacca machi."
None-of-the-above,She doesn't look  like  transgender
None-of-the-above,Anna nenga nalla irukkanum anna
None-of-the-above,vera level bro naanum unga channel uh subscribe panite enooda frnds ellaarum subscribe pannitaanga
Transphobic-Threatening,entha matheiri 9pundaikala serupala adikanum😠😠😠😠
Homophobic-derogation,@vijay visvasi  macha avan gay thevidiya da😂😂
None-of-the-above,Bro i am your new fan
None-of-the-above,Climax vera level bro👏🙌
Homophobic-derogation,"@top romance and comedy movie station   veetoda mapillai thavaru illai but laziness kaga veetoda mapillai ah irupathu, pethavangala paarthukama irupathu, koncham kooda self-respect illama avanga thittuna kooda atha ethukuven enbathu ellam thavaru , male or female self respect mukiyam and veetoda wife onnuna veliya velaiku poraanga illanalum veetil velai seiraanga, itha ethuvum Seiya maaten kadaiku kooda poga maaten enbathu too much.; And inga irukum maamanar yaarum avanga ponnuku varan thedura mathiri theriyala, avanga business ah paarthuka salary illatha oru aal velaiku venum enbathu pola pesuraanga. This is not good to a family."
None-of-the-above,Evlo alaga irukanga
None-of-the-above,Machi onku Apo ellam ikada; Size ethanada
None-of-the-above,@karthika Srinivasan  semma
None-of-the-above,@Dinesh Siva  neenga share pannunga.. Apdi illana eennoda mail id ku number share pannunga.. Ennoda id selvakumarbe69@gmail.com
None-of-the-above,@s.ravikumar s.ravikumar  illa bro Enna bro neenga neengala hii solitu gay van kekurinka I am studying college bro Nan gay illa bro
None-of-the-above,Vareyy vareyyy ......maja majaaaaaaa😎😎🥳🥳
None-of-the-above,Nithin Raj sema ji sariya soniga
None-of-the-above,Ungaluku theriyathu sister ethanayo per ungakita aasirvatham vanganunu nenaipanga sister apditha nanum nenapen so don't feel
None-of-the-above,Un num send pandri
None-of-the-above,Appo modi pesuratha ketta avanuku vote poduviya? Nithiyanath video patha  nithya devotee ayuduviya?
None-of-the-above,@Saran Tej  ama yes
None-of-the-above,@Silabarasan Gurunathan  hai dera friends how are you  unga number sollunga babu.g
Homophobic-Threatening,Nan ketavan dan ana indha mari kevalamanavan lam ila .....evlo age varaikum dee otha lesbian panva sollu ?? Homo sexual panrathu la ena inbam otha mental .......nee ena perumaiya knowledge  person ah irundalum periya iduva irundhalum thavaru thavaru dan ......40age la unkuda 40age aunty varvala ?? 60 age la uai kapatha 60age patti kuda irupangala ?? Rape panran avan tappu dan apo avanai manikalama ?? Apdidan neyum otha
None-of-the-above,😂Akash how r u
Hope-Speech,We support LGBT
None-of-the-above,I am for next part bro...
None-of-the-above,Well said bro
None-of-the-above,Ok anna nanum varen yenkum vedio panaum pls ok va anna
None-of-the-above,En opinion ennana nee semaya irukka un phone number thariya palagalam😅😍😘
Hope-Speech,That's okay 🤗❤️
None-of-the-above,Keep doing bro ❤️
None-of-the-above,Akka neenga veera level enakku aluga varudhu akka neenga romba romba nalavanga innimey ungala maadhiri na yarayavudhu paathana na ennala mudunja help pandra akka
None-of-the-above,Podi punda. over scene podura punda
None-of-the-above,Sikram podunga part 2
None-of-the-above,@Arun pandiyan  dei anna... Naan ennoda comment sonen athu Evan kittayum kekanum nu avasiyam illa... istham iruntha padi illena unnoda velaya paaru
Homophobic-derogation,"swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku."
Transphobic-Threatening,Otha saavadikkanum ivangalai.
Homophobic-Threatening,appo unna tha first adikanom
None-of-the-above,Bro sapadu kudukureenga k but dont take video
None-of-the-above,Anna video vera leave anna
None-of-the-above,Latif character superb❤️....
None-of-the-above,Namma entha uthavi yaruku senjalum valathu Kai kodupathu idathu kaiku theriyama uthavi senyanum neenga ellarum uthavi seirangura Perla video eduthu podurunga athuku seiyamale poidalam
None-of-the-above,unmaithan.namma Bible la kadaisi nal la yennalam nadakum nu yesappa sonagalo athuthan eppa nadakuthu.ethuku enna adaiyalam na yesappa mendum pumikku  vara poranganu than adaiyalam.
Hope-Speech,Thevvam ma niinga
None-of-the-above,Avanga ellam kadavul mathiri anna
None-of-the-above,Muthulakshmi muthulakshmi Eroad enna ungapppa vanguna ur ah ila ni poitu vanguna ur ennamo kevalama pottuiruka mariyathaiya comments podu ponu pakurn Ilana naridum mind ur words
Transphobic-derogation,Intha maariye oru jenmam irukkunga
None-of-the-above,AnbinalA S H Thala Sema 😆
None-of-the-above,"dai elumpa, nee oppose pannatha kooda vitralam. unku neraya propose varuthunu soltra pathiya...  athu than universal lie. nee pakka manusan mariye illa thevaangu...sappa piece da nee."
Transphobic-Threatening,thirunagai arajagathai ollikanum
None-of-the-above,Gud soul ❤
None-of-the-above,We are here for u sister 🙏
None-of-the-above,Akka nega 100 varusam santhosama erkanum akka
Hope-Speech,Ungal vazhkaila enimel happy a mattume kadavul tharanum vendikkura sis
None-of-the-above,@Prince Vegeta  aprom ennode gf eh vere yaaraacchum kalyaanam pannattum nu Vida soldriya....Nara Bali kudukkurathaiye otthukkure manushangga irukkurappo.... lgbt eh accept pannikkiravanggga mattum irukka koodaathunaa epdi?
None-of-the-above,sowmiya kirukki me too
Homophobic-derogation,"Thappudhaan matra uyirinamgal kadavul vdhipadi vazhndhukittu irukku aanaal manithargal kadavul padaipai udhaaseenapadudhra maathiri vaazhraanga ,idhanaal inimel ulla, thalaimuraigal muraiya thrumanam seithu vaazhradha kevalama nenachiruvaanga thavaraana theerppu, thavaraana vazhikaattudhal"
None-of-the-above,Neenga ethinayavathu varaikum padichu irukinga nu therinchukalam ah
Hope-Speech,nanum ungla mathuri opena yaranalam peasirva i love akka nanum ungla mathuri sathikanumnu aasa akka enakka pray panunga akka
Transphobic-derogation,Number thevidiya laatum pesara
None-of-the-above,Coimbator la sollunga bro
None-of-the-above,🥺🥺🥺🥺🥺 super akka.......🙏🙏🙏🙏🙏🙏
None-of-the-above,Wow ungalukellam evlo arivu... ponga vera engavadhu arivaligal maanadu nadakum anga poi ee ottunga
Transphobic-derogation,Yen da public ..vedekkareaa pasanga thaaan 9 b; Veeda  kevalam...
None-of-the-above,m.v.rajesh kumar Kumar what's against nature?
None-of-the-above,Uralum uralum urasinal semaya erukum
None-of-the-above,Hi I am gay
