category,text
Transphobic,Ivangala vetti podanum ivangala ippadiye vittomna treinla nalla padiya engaium poga mudiyathu thevdiyamundaingala kathi eduthu vailiye vettanum
Non-anti-LGBT+ content,Great Video antha akka ku oru BIG HATS OFFF
Non-anti-LGBT+ content,iva Vijay rasikaiya irupalo
Homophobic,"Otha thevidiya paiya, loosu koodhi, punda, lawadekabal. Unna nerla paatha saavadichiruvan da punda koodhi. Ommala sunni"
Non-anti-LGBT+ content,Ore visayam pidikadhu.... Sabam vduvangle....
Non-anti-LGBT+ content,Anna part 2 eppo poduvenga I am waiting
Homophobic,Kalli kalam ivungula mari aaluga naala tamil culture eh spoil aaga poguthu
Non-anti-LGBT+ content,"gomma pundaila nanduuuuu,nan daily adipen senduuuu😂😂😂😂"
Non-anti-LGBT+ content,Super bro.... chanceless daa
Non-anti-LGBT+ content,@Jenkins Jeru  I'm grateful
Non-anti-LGBT+ content,I am lesbian na happyah than iruken
Non-anti-LGBT+ content,Daiy punda number ah kudukara .... Otha
Non-anti-LGBT+ content,"Enakku oru doubt thiru nangaium ,ivangalum onna"
Non-anti-LGBT+ content,Kalakunga thala thirunanga thirunanga thaan speech less
Homophobic,Yogesh Waran Hey nee 9 taane 😜😆
Non-anti-LGBT+ content,@Mohamed Ashif  dei nadikkatha da avanga ponnunu theriyatha unakku😬
Non-anti-LGBT+ content,Bro Naan Ethum Thappa Sollala Ninga Thappa Puringukittinga Appadi Naan Yethavathu Thappa Pesirunthaa.. Sorry Ennai Maniichurungaa🙏🙏🙏
Non-anti-LGBT+ content,Bro vera leval bro nee
Non-anti-LGBT+ content,mothala ethu kalacharan sollunga
Non-anti-LGBT+ content,Antha akka manasa pathi solrathukku varthaiye illa engeyooo poitanga
Homophobic,Ne la manusha piravi ya cha
Non-anti-LGBT+ content,Ayya white T-shirt! Tamil culture pathi mulusa padichitu pesunga ji!
Non-anti-LGBT+ content,@Manoj Nadarajan  yup.. so whuttttt?
Non-anti-LGBT+ content,iva oruthi Panna thappukku ellarayum kutham solrathu thappu
Non-anti-LGBT+ content,"Mudinja kasu kodunga illana illa nu solunga , adha vitutu meala kaivekkadhanu    eliva peasuna avangalukum kovam varadhana seium !!  Nothing more to say 🤐"
Non-anti-LGBT+ content,She Is So Beautiful ❤❤❤ ....; 11:06 Bonda Ma3 Iruka Ashiq 🤣🤣
Non-anti-LGBT+ content,Oootha aaathhu yathuiku uniku kannna
Non-anti-LGBT+ content,Vara level 😉 bro
Non-anti-LGBT+ content,@Prem Kumar  hi
Non-anti-LGBT+ content,Naa onga channel la entha prank kum parthathu illa aana intha prank a paarthathum onga channel oda mega periya fun aaittain enaku therinjee ongaloda yella prank kaium paakamalaiyai sollurain intha prank maathiri entha prank kum irukaathu neenga prank pannathulaiyai ithu thaan best prank aaa irukum apadnu naa nanaikurain
Non-anti-LGBT+ content,Bro supar bro sama sapert in thirunangai
Non-anti-LGBT+ content,Bro veara level bro part 2 eppo bro pandriga bro paavam bro thirumathi samma bro Akka romba nallavaga bro
Non-anti-LGBT+ content,Love u so macha
Non-anti-LGBT+ content,vere vevel  feelings........go on guys
Non-anti-LGBT+ content,Adinggg Goiyaala...Neelam oru Rowdyaa...
Non-anti-LGBT+ content,Avanga rompa nallavangala irukanga please eni yarum avanga kita poi prank panathinga last avanga kita neenga prank nu sona appuram avanga manasu yavalovu kasta padum nu yosinga 😕😕
Non-anti-LGBT+ content,Dei eannoda shares sarija poichcha
Homophobic,Nalaa kozhappura d alien mandai po d poi ponnu maathiri mudi valathittu va
Non-anti-LGBT+ content,ok bro ❤️
Non-anti-LGBT+ content,Nalla iruku ga
Homophobic,Sudharshan AJ why mental your mental man
Non-anti-LGBT+ content,Good night sir
Non-anti-LGBT+ content,You look more beautiful😍 sis
Non-anti-LGBT+ content,"Yow paaka dummy piece ah iruka,, aana sema ya act panriye daa,,,,,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻"
Non-anti-LGBT+ content,Akka enaku thirunangaina rompa pidikum enaku thirunangai friend illena oru Akka apdi yaarum kedaikala  but neenga mass
Non-anti-LGBT+ content,Ada paavigala.. Dei idhu unga arabia countries layum iruku da.. sexual orientation education theriama pesradhu thappu.. Un kadavul ku idhu pidikala na avan ta soli idha thaduthu nirutha solu pakalam.. 😂 idhu nature da fool😂
Non-anti-LGBT+ content,"Avangavanga vaalkai tanippatta vishayam, freedom irukkanum ellarukkum.,; Kolandaigal:-paasatta kaatrattuku naattula kolandaigalukku panjam ille,namma vaittula porandaada kolandai aagumaa?"
Non-anti-LGBT+ content,Nanba na Kerala ponnu.; Onga vedio Remba pidichirikku
Non-anti-LGBT+ content,ViNu Vinuja Abi !997 nan mudivu irukana thoranthunu irukenanu NE Pathiya ..andha velakkennaya nalla ucham thalaila thechiko paithiyam theliyattum...
Non-anti-LGBT+ content,Nalla manasu kadavul antha akka
Non-anti-LGBT+ content,Solo pretty 🥰🥰
Non-anti-LGBT+ content,so beautiful but voice konjam hard aha iruku soft aha iruntha super aha irukum
Non-anti-LGBT+ content,"ithu iyargaithaan ivargal mana alavil aangale ithu iyargai avargalukku kututhathu. en annan (maalini) athai natraagaa sonnaargal. iyargai thaa en kadavul en annan num iyargai pataipe. So, en annanin happy enakum en kadavullukkum makiltchiye.. annaa I fully support you..."
Non-anti-LGBT+ content,Easy aana case
Non-anti-LGBT+ content,bad comments kodukura ovvoruthrkullum aairam kuppai irukum.. atha clean pannitu...apram mathavangala pathi pesunga...
Non-anti-LGBT+ content,Benglore LA ippadi kedaiyadhu pa
Homophobic,loosu koodhi munda modhalla yenn kelvikku badhil solludi oru pennum pennum thangaloda pennuruppa nakkikkiradhudhan unakku sexunna appo kadavul pengalukku maadhavidaya yedhukku vachchar oru aanum aanum thangaludaiya aanuruppa sappikkiradhum aasana vaayila aanuruppa nozhakkiradhumdhan unakku sexunna pinna kadavul yean vindhu yendra ondrai padaikkanum nee yenna kadavulaivida adhigam purinjavala oru penn innoru pennudan sex vaikka virumbuvadhum oru aan innoru aanudan sex vaithukkolla virumbuvadhum oru vagaiyana manachidhaivudhan adhavadhu nee oru mental koodhinnu artham unnoda bodu language modhalla normala irukkannu neeye unna kannaadi munnala ninnu paarudi
Non-anti-LGBT+ content,"Vera level bro true love never fails, semma concept"
Non-anti-LGBT+ content,Mani bro vara level acting bro sama🔥👌🏻
Non-anti-LGBT+ content,"Desi Gamer mudhalil manithanai manithanai parungal nanbare, mathathai kondu varathe, athuvum thani nabar virupam"
Non-anti-LGBT+ content,Ivangalukunu thaniya jail illaiye😋😛😝😜🤪
Non-anti-LGBT+ content,intreview adukura amma an nee moonja kattamatraaaaaa?
Non-anti-LGBT+ content,Cuddlur distict u
Non-anti-LGBT+ content,Transgender : Mariyadhaiku uriyavargal... 🙏 Yaar nu theriyadhavanga nalla irukkanum nenaikkuranga paarunga Kadavul sir 🌹🙏🌹
Non-anti-LGBT+ content,"bold answers📓 , manithabimaanam valarkura, erikura oru samugathula entha veri seyalum, vanmuraium  nadakathu, thaiye  pettra kulanthai ya kollura intha manithabi maanam eillatha samugathin karuthukalai yetturukolla mudila , innum evalo nadakuthu atheillam vittutu , karuthurimai ya inga payapaduthurom.  life is too short, avangaluku pudichamaari than erikatume"
Non-anti-LGBT+ content,@Ayy Ar  enna machi seiyaringa. Romba busya..
Non-anti-LGBT+ content,Neenga romba azhaga irukinga sister
Non-anti-LGBT+ content,Part2 pod u ga nanba
Non-anti-LGBT+ content,Antha  Akkavitgaka  like pannuran 👨‍👩‍👧💑👨‍👩‍👧‍👧
Transphobic,Venkat Raman ; 9 punda jinjuk poda vanthutan
Non-anti-LGBT+ content,Akka love u akka oru Thambi aaa
Non-anti-LGBT+ content,Ur acting 🔥 jiii
Non-anti-LGBT+ content,Unga  found san members add me
Non-anti-LGBT+ content,Unna mathalam venam nee apdithan iruka pakkurathuku
Non-anti-LGBT+ content,Velakaran ena follow panrano avan pana slrano ilayo atha pride ninachutu mooditu getukaga follow panra puthi namakita Dan da iruku😁😁😁...Pesura arivu jeevigal lam nalu English putukadha menjitu vanthu insta status potu sutuhura koshtikagal than. Anyway valthukal progressive society sluvinga ena karumami panitu  ponga
Transphobic,Pichai edukkum thirunangai galey rosathia unga ullsppuuley varey kasukku vangi sapta nyayam.
Non-anti-LGBT+ content,Ama unamai sister nice
Homophobic,media nalla visiyankaluku eppavum irantam tharama than pakkarathu.ithu pola visiyankaluku  highlight panni society melum kelaiye poyutu iruku.pls nall visiyankaluku support pannunga
Non-anti-LGBT+ content,God bless you ma
Non-anti-LGBT+ content,@Manimozhi P  👌👌👌👌
Non-anti-LGBT+ content,"Siva Pradeep.b ,nee adhuva nu sollitu poi paru."
Non-anti-LGBT+ content,Super nice pa 😭👍🤝
Non-anti-LGBT+ content,Population ketu podium friend
Non-anti-LGBT+ content,Sasi Kumar ama bro😂😂
Homophobic,"swetha k ,boys kitta irruthavathu girls thappika vali irruku,ana unna Mari lesbian Ava kudave uttkarnthu  Ava koodave bathroom poi ,thappu Mela thappu panni chee,vekkama illa panni kuttame."
Non-anti-LGBT+ content,Are you tamil
Non-anti-LGBT+ content,@sreekanth  well said bro..
Non-anti-LGBT+ content,I love you💖
Non-anti-LGBT+ content,Nice bro enaku romba pudichi iruku
Non-anti-LGBT+ content,karthick mani soothaa modu
Non-anti-LGBT+ content,God Bless U Akka💓💓💓💓😍😍😍💓💓💓
Non-anti-LGBT+ content,Yenna ithungalukkullaye sandai pottukkuthunga
Non-anti-LGBT+ content,😭😭 super akka 😭😭 support puninka frnds thirunankiyika elorikuma support puninka 🙏🙏🙏
Non-anti-LGBT+ content,Oruthan Vanthu perusan paru avan athuingkaloda aalatha erupan kandipa
Non-anti-LGBT+ content,Ithu pesi vachi panraru
Non-anti-LGBT+ content,@shinchan shinchan  eppadi pavam sollenda naan ponnu paiyan endru ninaichukkatha. Antha kadavule shiva sakthiye aravani deivam than. Yaaru sonna pavam endru. Unakku ethavathu distrub agutha.?
Non-anti-LGBT+ content,Hii super bro
Non-anti-LGBT+ content,U r soo sweet sennila
Non-anti-LGBT+ content,"@Ayy Ar  why bro, enna achi  unggalukku.tidirnu message panrata stop pannitinga.ennai pudikkalaiya.etuva iruntalum na unga mela vacha  natpu unmaiyanatu.i am waiting for your message. I love you again my sweet heart."
Homophobic,Pongada parathesigala it's very very very wrong itha panravanga pichakara karumanga....
Transphobic,Oda vittutu soothula okkanum ivalungala
Non-anti-LGBT+ content,Dai thavidiya paiya unaku vera concept illaya da avangala yan da kasta paduthura ....eacha thumma unaku views subscribe ka yan da dai thaippu da ethu ...
Non-anti-LGBT+ content,Eppaditha pannraga na kuda paththu eruka chiii
Non-anti-LGBT+ content,I love bixe sex
Non-anti-LGBT+ content,Sema human being antha akka.....At a kind heart.....
Non-anti-LGBT+ content,Ok mr gay
Non-anti-LGBT+ content,No such incidents here at Kerala. Here transgenders are decent.
Non-anti-LGBT+ content,Super Anna 👌
Non-anti-LGBT+ content,Melting bro really super !!! Thirunangaigal feelings ah apdiye real panirukinga Crying varudhu bro !! Respect Thirunangaigal ❤️
Non-anti-LGBT+ content,"@Intellectual Indian  correct ah culture, science & history ah padichutu pesanum thambi..  Arakoraiya padichutu olara kudathu... LGBTQ elame America la irundhu varala.. Athu kaalam kaalama irundhutu dha iruku.. Ungaluku athu theriyala.. avlodha..  & also it's not against nature.. Go and surf it.."
Non-anti-LGBT+ content,Bro unaku thareyala
Non-anti-LGBT+ content,Personal questions ieruku enaku if u don't mine can I talk u
Non-anti-LGBT+ content,Andha Amma sonnadhuku meaning rendu per kalyanam panradhu pulla pethukradhu! So kadaisi varaikum onna vaazhradhuku illaya?? Indha comments la andha Amma ku support pannavanga lam idha konjam yosichu paarunga pa! Unga husband oh illa wife ko edho problem la kolandha porakaadhu nu doctor sonna unga husband/wife ah vittutu poiduveengala??
Non-anti-LGBT+ content,Enna thalaiva ipdi panita romba Feel panita thalaiva 👌👌👌
Non-anti-LGBT+ content,@Anitha Anitha  ethu Eppa d kaama unaru Ahum
Non-anti-LGBT+ content,@Chen Nila  call panne
Non-anti-LGBT+ content,Praveen kumar naanga apd than...; Nanga tamila ...tamilaum tamil culturayum protect panrathu engaloda duty...
Non-anti-LGBT+ content,Kavalaigal maranthu sirikka Tamil Medium Pasanga Channel ❤️........worldaa yarum panni pakatha prank🙏🙏........vera level bro ne😘😘........ waiting part2👍👍
Non-anti-LGBT+ content,avinash Rahul Fkkkk off🖕🏼
Non-anti-LGBT+ content,Love you so much sisy 😍
Non-anti-LGBT+ content,#90's kids mind voice : Ippovey Ponnu kedaika  maatingudhu idhula idhu veraayaa
Non-anti-LGBT+ content,Ponnu maathiyea thaanya iruku
Non-anti-LGBT+ content,Bro nengga Vera level super bro👍👍👍
Non-anti-LGBT+ content,Semaaa... Thirunangaigal mela migavumariyadahai ulathu...
Non-anti-LGBT+ content,Negal unga life unga virupapadi valunga..athu than magilchyai tharum
Non-anti-LGBT+ content,Thirunangai ku erukura manasu yaruku eruku
Non-anti-LGBT+ content,Thala vali ipa woraiyur layum
Non-anti-LGBT+ content,@Vishwa  apdingala sir ..semma shocking news pah..
Non-anti-LGBT+ content,"@Ayy Ar  chellam neraiya tadava no anuppiten dear, en vantu  seramaddutunu teriyala. En no sent panna maddutu,ore kulappama irukku machi."
Non-anti-LGBT+ content,Akka ungala madhiri oruthavangala na en valkaila paathadhey kidaiyadhu neenga romba nalavanga akka neenga unmaiyavey ninga oru ponnu dhan enakku aluga varudhu akka
Non-anti-LGBT+ content,video super lastla helping video kaga I'm new subscriber Bro. 😍
Non-anti-LGBT+ content,Yoooo vera level ya 😢😢😢
Homophobic,Kolai Seibavan Kooda avanukku oru niyayam vaithiruppaan. Adhanaal avan seivadhu sari illai.
Non-anti-LGBT+ content,Prabhu yethuku ipdi vilunthu vaari varaan 😂🤣
Non-anti-LGBT+ content,Tq bro 😁
Non-anti-LGBT+ content,Andha akka ungala samy nu sonnagala ana unmaiya andha akka manasukku avnga dha Samy neenga dhan avangala Samy nu kupudanum
Non-anti-LGBT+ content,Anna neega nalla hard work pannrainga kandippa periya screenla Vara all the best
Non-anti-LGBT+ content,Enna pa muslim christian hindhu yella solli yachu
Non-anti-LGBT+ content,Ippo kandu pudich enna Panna poringa🙄
Non-anti-LGBT+ content,Definite aah Na oru transgender aah adopt pannuven... illa enake oru transgender babe porandha kandipa valapen
Non-anti-LGBT+ content,"Akka,ningge semme cute n alagu kaa..😘😘😘😘🤗🤗😘🤗😘🤗"
Non-anti-LGBT+ content,Pesurathula nallatha irukku aana pesura visayamtha nalla illa
Non-anti-LGBT+ content,Akka nenga ella roomba pavam akka 😭😭😭
Non-anti-LGBT+ content,Ne mulaia katikitu va nu koopduva
Non-anti-LGBT+ content,"swetha k ,ethanai kovil sirpathula irruku,ore oru madabam la irruku...; Ana kovil sami appadi illaye , Ella kovil layum appadi illaye..?"
Non-anti-LGBT+ content,Malini super speech pls Malini uaga partner yaru we want see him bcos neaga paka so blodness
Non-anti-LGBT+ content,God bless u akka
Non-anti-LGBT+ content,Super bro 💪
Non-anti-LGBT+ content,anbana nanbargale homo sex pathi dan pesureenga padukura vishayam matum dan life ahh sollunga nalla natpudan life long irukalam iduku udal uravu avasiyam illai ada yen oor ina serkaya pakureenga namma ennangal ore madiri irunda podum nan enna solren appadina kamam ma pakama irunda podum
Non-anti-LGBT+ content,"Super macha ,avungalkkum nalla ethayam erekk"
Non-anti-LGBT+ content,@Ayy Ar  i thing code nombar join seiyanumnu ninaikiren bro.
Homophobic,Intha saniyanaaa pethavaluku sorgam kedaikaathu ithu kutti sevura porathu pathaama elaarayume kedukuthu
Non-anti-LGBT+ content,Super Nenga semaya pesaringa
Non-anti-LGBT+ content,Akka nega nala irukanu love u
Non-anti-LGBT+ content,Ipdi oru channel na Vaal naal la paathathu Ila.. harts of guys... And intha video paatha aprm  Thirunangai avanga Mela oru Mariyathai vanthuruchu.. 🙏🙏 Nenga nalla irukanum Amma 🙏🙏👍👍
Non-anti-LGBT+ content,@Manikandan Govindhaswamy  Mon kita sonnen
Non-anti-LGBT+ content,Avarun Sivam unakku apdii oru kolandha thaanda porakkum apo kandu pudii ponna paiiyananu otha chiii unarvugal la purenjukadha kaatuu mirandii mirugam kaminatti
Non-anti-LGBT+ content,@rajeshs  OK da
Non-anti-LGBT+ content,Yedukurathu pitcha ithula thimuru vera ivanguluku
Non-anti-LGBT+ content,"Bharath kumar Nee palanikke paal kudam yeduthalum,  Andha ponna crct panna mudiyadhe...... 😂"
Transphobic,Aravanikalai odukka vendum....romba pannuthunga
Non-anti-LGBT+ content,"Nice thiru nangai,"
Non-anti-LGBT+ content,1:19appo athukkuthan unkalukku ponnunga theva illaiya sir
Non-anti-LGBT+ content,Super bro eppo prank panrannu sollittu love lettar aha thookittu ponnungala kindel panrathu comedy ngra perla  erichal adaya seirathu ellama neenga difrenta pannunga bro all the best
Non-anti-LGBT+ content,Dislike panna epdi tha manasu varudho 😏
Homophobic,Poda hiv vantha naye . Dai evanugala petti edukara ungala thanda first adikanum. Enamo ulaga sathana panna mathiri pesitu erukan . Vaila nalla asingasiga varthu intha video va first youtup la erunthu edungada  ....
Non-anti-LGBT+ content,Avanka pavam Nama Avankalukku yethachu pannanum but Nalla thirunankaikku
Non-anti-LGBT+ content,I love you so much da 😘😘😘😘😘
Non-anti-LGBT+ content,Vera level thirunagai oda thaai pasam idhan kashtam onu na vitutu than povanga normal ah iruka manushan kuda help pana maatan dedicate to all thirunagai pls respect panuga kevalama pakathiga
Non-anti-LGBT+ content,Super di chellam
Non-anti-LGBT+ content,@Ayy Ar  wow appadiye vayileye adichi vidunga.fulla kudicci mudicciduren.semma tast  machi.enakkum  ippo viliaga pogutu dear.
Homophobic,Pode thevidiya Munda.. kaalaacharatha keduka vandha naai. Tamil manoda arumai theriyama pesitu iruka. Idhu iyarkaiku against aana vishayamum kooda. Periya thyagi Mari pesuraa. Poi ungomaa kooda lesbian iru.
Non-anti-LGBT+ content,Alugaiya varuthu anna avanga la mari uruvathula kadaval irukanga😭😭😭😭😭
Homophobic,UNGA AMMA ENNORUTHA AMMAVODA SEX KAAGA IPA OODI PONA OK VA .ILA COURTLA POI UNGA AMMAVAIUM ENNORUTHAVANGA AMMAVAIUM SEATHU VAIPIYA
Non-anti-LGBT+ content,Super super speech akka 💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡
Non-anti-LGBT+ content,Vendam verupa show pandra mari pandran entha aalu ..serial actress ah iruntha vera mari pannvaru ..
Non-anti-LGBT+ content,Yov part 2 yeppoyaa varum
Non-anti-LGBT+ content,jaf ran  support pandravanga ellam gay illada mental
Non-anti-LGBT+ content,Super ya ...rompe help panunka rompa nalla irupinga
Transphobic,Yaandi pottaigala unga rendu groupku sollaren adaavadi venaam
Non-anti-LGBT+ content,"@Ayy Ar  kanji out agum botu  ulla sugam,wow solla vartaye illa bro."
Non-anti-LGBT+ content,Supper thalaiva vera level
Non-anti-LGBT+ content,Azhaga iruka ma
Homophobic,Pooda thevdiya potta punda
Non-anti-LGBT+ content,Transgender nu Sonna namba mutiyala pa aptiye she is looking for girl😱
Non-anti-LGBT+ content,ivangalaa   police la   pidichikodukanum
Non-anti-LGBT+ content,Inthu avangaloda feelings ungaluku la easy solitu poiduvinga ivory feelings evlo vali yodum vethaniya erukum super sir I love this movie
Non-anti-LGBT+ content,@Ananya Annu  tnq sister
Non-anti-LGBT+ content,Vera level Anna nee semma men women thirunangai nu Thani Thani ya pirichi pesama irunga we all r human.........hands of u TMP
Non-anti-LGBT+ content,Super g semma illathavanghulu kutunga avanga pavam avanghalu sapatu potunga g
Non-anti-LGBT+ content,Always transgender... good human
Non-anti-LGBT+ content,Enake azaga varudu 😭😭😭😭😭
Transphobic,"Kuda poravanuga full ah ombodhu pasanga la da ,..adichu verattama pongal thinna mathiri ukanthu irukanuga"
Non-anti-LGBT+ content,Mapla totally dif da avanga manasa pakkumbodhu kan kalangitenda ❤️
Non-anti-LGBT+ content,Anna Avanga Really Great Anna Yarune theriyadha ungaluku avanga avalavu Help panni irukanga kandipa Avanga Great anna
Non-anti-LGBT+ content,Broooo first time I seeing your video ......love you brooooooooooooooooooooo
Non-anti-LGBT+ content,Super Anna 👌
Homophobic,Judge sir avana nee😂😂
Homophobic,Epdiyo poi tholainga !!! Ipo unak enna vaenum sex pananum panika !!!
Non-anti-LGBT+ content,Meera mitun is a transgender??
Non-anti-LGBT+ content,Ada thiruddu naye
Non-anti-LGBT+ content,I love you so much❤❤❤
Non-anti-LGBT+ content,Police dvd pasangaluku ithuellam kannuku theriyatha
Non-anti-LGBT+ content,Cheeee ipad oru news pakurathe kevalam 🙄🙄🤗🤗🤗🤗
Non-anti-LGBT+ content,"@Ayy Ar  no dear, don't thing about that,nettu malaiyile nanaingiccutten bayangarama fivar maramatiri irunttatu.atan nalla paduttu tungitten.ippo OK.uyir pirintalum unai piriyata varam onru peravendum.atutan unmaiyana natpirku adaiyalam.i miss you so much, I love you baby. Why bro unga kuda chatpannikittu irukkum bote full temp agi moodagidutu.unga kitta appadi oru kanta sakti irukunu ninaikiren.velaiku kilambiyacca machi."
Non-anti-LGBT+ content,She doesn't look  like  transgender
Non-anti-LGBT+ content,Anna nenga nalla irukkanum anna
Non-anti-LGBT+ content,vera level bro naanum unga channel uh subscribe panite enooda frnds ellaarum subscribe pannitaanga
Transphobic,entha matheiri 9pundaikala serupala adikanum😠😠😠😠
Homophobic,@vijay visvasi  macha avan gay thevidiya da😂😂
Non-anti-LGBT+ content,Bro i am your new fan
Non-anti-LGBT+ content,Climax vera level bro👏🙌
Homophobic,"@top romance and comedy movie station   veetoda mapillai thavaru illai but laziness kaga veetoda mapillai ah irupathu, pethavangala paarthukama irupathu, koncham kooda self-respect illama avanga thittuna kooda atha ethukuven enbathu ellam thavaru , male or female self respect mukiyam and veetoda wife onnuna veliya velaiku poraanga illanalum veetil velai seiraanga, itha ethuvum Seiya maaten kadaiku kooda poga maaten enbathu too much.; And inga irukum maamanar yaarum avanga ponnuku varan thedura mathiri theriyala, avanga business ah paarthuka salary illatha oru aal velaiku venum enbathu pola pesuraanga. This is not good to a family."
Non-anti-LGBT+ content,Evlo alaga irukanga
Non-anti-LGBT+ content,Machi onku Apo ellam ikada; Size ethanada
Non-anti-LGBT+ content,@karthika Srinivasan  semma
Non-anti-LGBT+ content,@Dinesh Siva  neenga share pannunga.. Apdi illana eennoda mail id ku number share pannunga.. Ennoda id selvakumarbe69@gmail.com
Non-anti-LGBT+ content,@s.ravikumar s.ravikumar  illa bro Enna bro neenga neengala hii solitu gay van kekurinka I am studying college bro Nan gay illa bro
Non-anti-LGBT+ content,Vareyy vareyyy ......maja majaaaaaaa😎😎🥳🥳
Non-anti-LGBT+ content,Nithin Raj sema ji sariya soniga
Non-anti-LGBT+ content,Ungaluku theriyathu sister ethanayo per ungakita aasirvatham vanganunu nenaipanga sister apditha nanum nenapen so don't feel
Non-anti-LGBT+ content,Un num send pandri
Non-anti-LGBT+ content,Appo modi pesuratha ketta avanuku vote poduviya? Nithiyanath video patha  nithya devotee ayuduviya?
Non-anti-LGBT+ content,@Saran Tej  ama yes
Non-anti-LGBT+ content,@Silabarasan Gurunathan  hai dera friends how are you  unga number sollunga babu.g
Homophobic,Nan ketavan dan ana indha mari kevalamanavan lam ila .....evlo age varaikum dee otha lesbian panva sollu ?? Homo sexual panrathu la ena inbam otha mental .......nee ena perumaiya knowledge  person ah irundalum periya iduva irundhalum thavaru thavaru dan ......40age la unkuda 40age aunty varvala ?? 60 age la uai kapatha 60age patti kuda irupangala ?? Rape panran avan tappu dan apo avanai manikalama ?? Apdidan neyum otha
Non-anti-LGBT+ content,😂Akash how r u
Non-anti-LGBT+ content,We support LGBT
Non-anti-LGBT+ content,I am for next part bro...
Non-anti-LGBT+ content,Well said bro
Non-anti-LGBT+ content,Ok anna nanum varen yenkum vedio panaum pls ok va anna
Non-anti-LGBT+ content,En opinion ennana nee semaya irukka un phone number thariya palagalam😅😍😘
Non-anti-LGBT+ content,That's okay 🤗❤️
Non-anti-LGBT+ content,Keep doing bro ❤️
Non-anti-LGBT+ content,Akka neenga veera level enakku aluga varudhu akka neenga romba romba nalavanga innimey ungala maadhiri na yarayavudhu paathana na ennala mudunja help pandra akka
Non-anti-LGBT+ content,Podi punda. over scene podura punda
Non-anti-LGBT+ content,Sikram podunga part 2
Non-anti-LGBT+ content,@Arun pandiyan  dei anna... Naan ennoda comment sonen athu Evan kittayum kekanum nu avasiyam illa... istham iruntha padi illena unnoda velaya paaru
Homophobic,"swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku."
Transphobic,Otha saavadikkanum ivangalai.
Homophobic,appo unna tha first adikanom
Non-anti-LGBT+ content,Bro sapadu kudukureenga k but dont take video
Non-anti-LGBT+ content,Anna video vera leave anna
Non-anti-LGBT+ content,Latif character superb❤️....
