category,text
None-of-the-above,+Rizwan Mn posting my wasap no in publ8c could pose huge detrimental cause..can i catch you up in fb...?
None-of-the-above,No hate feeling in gay boy
None-of-the-above,Really superb Anna 👌
None-of-the-above,so smart and brave 🌈❤!!!
None-of-the-above,There is no wrong in saying she is transgender in fact she is proud of being one!
Homophobic,Mental speaking and mentals listening this is future world ending
None-of-the-above,Bro Please About #Animators & History
None-of-the-above,Hi friend callme
None-of-the-above,Madan Gowri bro please explain about incest sex relationships and where it is practiced officially and also about esp with example cases.
Homophobic,2 CORINTHIANS 5:10 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad.
Hope-Speech,Hey hii.. I too support LGBTQ.. because it's just a feelings.. what's wrong in having a feeling with same gender..
None-of-the-above,jesus baby  Hi
None-of-the-above,Am eagerly waiting
None-of-the-above,Thanks a lot
None-of-the-above,Good attempt team.
Hope-Speech,Superb.... Malini ..... Akka.; Congrats to you.; Lots of wishes for you....!! Keep going on....; God bless you
None-of-the-above,Becox of very few Transgender doing wrong things - esp in Toll booth there is always bad name for your people - First you people have to search jobs and prove yourself - there are many good employers who are ready to provide employment based on your education qualification - incl Software companies - so try to change the image before people - Besk of Luck - i Always respect you people....
None-of-the-above,"article 377 is true,so supported  for me...."
None-of-the-above,"Let them live peacefully <3  Accept them, pawam vazhnthuttu pogattume."
None-of-the-above,Can talk about mental stress??
None-of-the-above,Part 2 i am waiting 💥💥💥
None-of-the-above,He's exposed that place front of public
None-of-the-above,First the community should start accepting inter caste wedding !!
Hope-Speech,Such a great personality she is
None-of-the-above,Aww!Heart touching vedio 💖
None-of-the-above,She is bold and beautiful lady
None-of-the-above,Right or wrong  about  marriages between  relations..???.
Hope-Speech,Semma acting bro
None-of-the-above,"Very late to have watched this movie. Heart wrenching story and the actors have really withstood by their characters so gracefully.; Only if she had understood or only if he had given her some time is that the question only i felt in my mind, im not sure.; Thanks for clarifying that a gay themed movie need not always be associated with sexual content.; Hatsoff to the creator.; 😍😍😍😍"
None-of-the-above,i really like his confident.... go and shine bright man...
None-of-the-above,"Bro....nice as usual.... ; I think u could start doing about the current affairs, important news, daily..... or whenever you want.... ; Like padmavati issues, Robert Mugabe issue in Zimbabwe.... North Kore China tie up.... and many.... ; ....; ....; Do it if you also feel the same!"
None-of-the-above,Black sheep ram nishanth homosexual  the channel full of talk gay content worst to speak
None-of-the-above,she is so sweet
None-of-the-above,i support you da... all the best and dont care about brainless people .
Homophobic,These people support homosexual because they do not want to take responsibility like children..just live without any use
Hope-Speech,Nice flim. It's good that more people are coming forward and attempting this topic. Hope our society will realise there is nothing wrong in this. Brilliant acting by this guys. Love their acting...🥰
None-of-the-above,Anna plzz make a vedio about Bose who is alive or dead
None-of-the-above,Velavan  am only son.. if I have brother i would have spoken up. Brother will get married and someone is there to take care of family. Being single son is problem for me. I could not open up.
None-of-the-above,I will proud of lathif
Homophobic,BIBLE SAYS 2CORINTHIANS 5:10 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad.
Counter-speech,My point of you it's correct because there all feelings so respect in feelings.
None-of-the-above,She is beautiful
Hope-Speech,"Wow!!! superb!! Congratz to the director Mani shankar Iyer. Latif's acting, his emotional dialogue about madness - simply rock. Thanks for happy climax. But i m not bold as  like Latif :("
None-of-the-above,3:35 I bet she's lesbian
Hope-Speech,She is so great
Hope-Speech,I Agree; LGPT; Section 377
None-of-the-above,"Great movie, Love has no boundaries no matter what's happens"
None-of-the-above,🙏🙏🙏🙏you are great ; GOD bless you bro👌💪💪💪
None-of-the-above,Srini vasan  Yes sir! Could you share their details?
None-of-the-above,Rnakku oru nalla payyan venum.. ❤️; Is there anyone???
Counter-speech,Bro i am crying very sad
None-of-the-above,Bro london sceret of Inner city
None-of-the-above,DRAGON BALL FAN  someone who's a Dragonball fan is telling someone else a kid! Fascinating!
None-of-the-above,"Super akka , super bro 😍😍😍 waiting for part 2"
Counter-speech,Sathiyama aludhuta ..when I see the video... she is caring ... respected transgenders 🙏🙏🙏🙏😍😍😍😍😍😍
None-of-the-above,Sooo cute akka..... U look very bold..... Through this we can learn to enjoy life...On our way
None-of-the-above,Any one person interested in gay marriage....Please contact me
None-of-the-above,"At first, from the thumbnail, I thought it was Chinmayi 🤣🤣🤣🤣"
Hope-Speech,Sprr bro all the best bro
Hope-Speech,same  feel but not win;  my life😔😔😔😔
None-of-the-above,Yes it's true...But in our  country We are blaming the people but we no do like this...
Counter-speech,Vera lvl bro hats off
None-of-the-above,How to become a YouTube channel anchor? Can anyone explain....
None-of-the-above,She is innocent nd cute
None-of-the-above,hormone's change according to situation and food( junk food) today's lifestyle
None-of-the-above,Any gays watching this.....
Hope-Speech,Very nice natural thanks bro
Transphobic,Magalakshmi Mukunthan Ella transgalayum konnudalaam. ; Easiest way is to just stab them in the streets. Or We can poison their water supply. ; But you are just sitting behind a keyboard and a useless piece of shit. So I can’t count on you. ; I will look for others who can actually kill them. And cleanse the country.
None-of-the-above,I do understand her words but not their feelings.So do not stand by the majority to discriminate these people ....just give out your point of view
None-of-the-above,I love you sister.now you look very happy so continue this.
None-of-the-above,I think they feel comfortable with each other ...they are showing their bond with this way...
None-of-the-above,She is great😢😢respect ; Neenga sonadhukaga avanga road la dance adnanga ❤❤so sweet
None-of-the-above,Waiting for bro
Hope-Speech,Thanks a ton for all of your efforts dude🎉.; Keep going; We are with u; U r with us; 💙
Hope-Speech,"Mani shankar Iyer, you deserved to have hug from me. You know what, love is the most madness one that never existed anywhere else. Hats of to your crew. you all have a outstanding cinematography, screenplay, direction, dialogue, editing, background music and even the locations. what a great stuff that you shown... speechless.. i must admit my gratitude to character varun who have a amazing expression, perfectly tuned tone of voice and the dedication towards the film. Even character latif scene were fabulous. even the main credit to dialogue director and you. you just hiked LGBTQIS love in next level. As a writer, I must congratulate to all of your hard work and dedication towards the gender equality. You have a great cini life. I would be happy if you are continuously doing socially challenged theme and put your hard work together. ; ; ; My best wishes to all crew....thanks for the movie."
None-of-the-above,Madan video about new #intersteller object
None-of-the-above,Very Interesting video Bro....
Hope-Speech,"It was good concept, I appreciate the story writer."
None-of-the-above,Iam also your subscriber my I'd ask 5532r
None-of-the-above,excellent acting is done by Latif character .; u I'll become a very gud actor
None-of-the-above,Talking good but without Ur parents u will not be here but checkout the internal feeling 😀 Ur attitude s good but there s something influence d u strongly check out mam at some point Ur affected by man accept it try to come into track we can't walk with hands and eat by Ur legs if u do tat how long.  Think abt tat
None-of-the-above,"Early morning out , No porn videos, no masterbed, no touching but out reason for my dear voice 🤗🤗🤗 amezing"
Counter-speech,They may be transgender but don't ever forgot that they are also humans !!!! If humanity still exist means love them !!!!!
None-of-the-above,Visuvanathan swamynathan  ; Your number please
None-of-the-above,katrina superb All the best dr Ashik superb
Homophobic,"BIBLE SAYS 1 CORINTHIANS 6:9,10 Know ye not that the unrighteous shall not inherit the kingdom of God ? Be not deceived neither fornicators, nor idolaters, nor adulterers, nor effeminate, nor abusers of themselves with mankind, nor thieves, nor covetous, nor drunkards, nor revilers, nor extortioners, shall inherit the kingdom of God."
Counter-speech,"To contact Magizhvan Foundation regarding help and support, kindly check below the details.; Working Hours: 10am to 5pm; Contact number: +918754411849; Email: contactmagizhvanfoundation.org; Website: www.magizhvanfoundation.org; ; If incase, we didn't pick up the phone call, kindly leave us a text message or whats app text message. We will revert back to you soon. ; ; Regards,; Team Magizhvan 🏳️‍🌈"
None-of-the-above,Sudha BTS  hiiiii I want true girl frd life partner if you interested
None-of-the-above,Can u discuss about bermuda triangle?
None-of-the-above,Dont worry bro.
None-of-the-above,Hello bro phone number please help me.
Homophobic,"Ishvar Mahendiran if they are hungry, they won't think like this. that's what I'm saying. ; If they work hard and earn money there won't be any time to think like this"
None-of-the-above,Middle class family; Sombadi access
None-of-the-above,Iam waiting bro
Hope-Speech,"Wow,,,. Amazing!!! No words to describe my loneliness and longingness !"
None-of-the-above,I miss you too. Sister very nice speech
None-of-the-above,Little more emotions huh?..lol..will be megaserial then..
None-of-the-above,Don't to like those things bro please 😭
None-of-the-above,Really super guys I love your act and hardwork
None-of-the-above,I am a clg student me to don't share in my personal
None-of-the-above,"Dev sri Muthu It's Viknesh or Vicky. Hahaha, hey"
Counter-speech,they must b punished
None-of-the-above,They are not against nature it's their nature.
Hope-Speech,We both stories same but the family and friend r not supported 😔😔😔   but one thing what i think ill do that. Then one day they will understand what we are. Im waiting for that happy day.. waiting......
None-of-the-above,Which movie is she acted. Very beautiful😍
None-of-the-above,Your voice very nice bro
None-of-the-above,pls concern her needs. every soul in this earth has their writes to live happy. pls not hurt them
None-of-the-above,Such a caring person ❤️💕
None-of-the-above,What she is a transgender ah really omg 😉😉
None-of-the-above,"Pls don't prank like this,it is will hurt their feelings"
None-of-the-above,Thank you 😀
Transphobic,It takes me 5 minutes to find either this man is girl or boy!
None-of-the-above,is it mandatory to mention the gender??
Counter-speech,jesus has told people to love everyone! who are you to judge others life? Let god judge if they really are sinners to you..
Counter-speech,Its his or her wish....that's it...individual rights...no n
None-of-the-above,"Western culture, it's not advisable."
None-of-the-above,Vera level Bro wish you all the best
Hope-Speech,I feel it 😔; So cute true heart ; 🤝🤝🤝🤝
Counter-speech,I am watching emotional this video I really enjoyed my mind relief and this video I am enjoying  congrats Tamil Pasanga  I am waiting part 2
None-of-the-above,The beach locations are awesome....where is it exactly?
None-of-the-above,chi shut wrong this way
None-of-the-above,Super mama please number
None-of-the-above,Semma act bro
None-of-the-above,Population  Will  decrease
None-of-the-above,Very good great
None-of-the-above,I seeing so many videos this is the one of lovely bro nice caryon from KGF
None-of-the-above,Bold speech. I support you sister 😋.
None-of-the-above,I love how Karthik family is so caring about Varun.
None-of-the-above,super .....not only that but lord shiva changed his gender to a woman  to dance with krishna  as  a  hoping.  in fact no man is equal to Lord Shiva   because  lord Shiva is the universal male energy.
Hope-Speech,True love never fails..; S am also in LGBTQ community
None-of-the-above,"Very good interview.. congrats sennila... for a fast time I've seen a casual,  simple , humble and  trans with 0% attitude... very matured interview......."
Counter-speech,Sema bro 😊👍heart touching 👌👍
None-of-the-above,"She is so cute, might be a heroine in the future, so cute"
None-of-the-above,Hey i love every video u put up..... but can u pls explain about bi-sexuality please.....
None-of-the-above,Balamurugan M  I don't worry why mobile number here
None-of-the-above,Same problems can happen in anyone's life... if everyone think that way...........????
Hope-Speech,such an awesome film  i need o show this film to my parents one day really thanks Mr. Mani shankar iyer for your effort this is a life saver film
None-of-the-above,"Nishanth Akash  clearly you haven't, this law was imposed by the colonial government 150+ years ago and it was repealed and again appealed in the 2000's. For the record it not based on medical sciences it's based on pure bigotry and bullshit. I'm not giving you half baked facts I'm giving you full perfectly correct and true facts that you're way too fragile to take in because you don't want them to be treated the same way you are, which by the way is pure disgusting. And for he record, its miss. So get yourself educated CORRECTLY."
None-of-the-above,the same thing happened to my sister's life the guy who married her... he was a cheater.. my sister suffered a lot there... and we brought her to home within 3months  after marriage... we can't see her affecting personally in the society at this age itself... so plz aware of it before marriage plz plz plz.... try to gather more information about the person before marriage itself... finally my sister is affected by this cruel marriage 🙁🙁🙁🙁
Hope-Speech,Vera level bro all the best
None-of-the-above,Dinesh Kumar  hi.w r u I am from Chennai 27
None-of-the-above,Ihsan Ahmeth  super dude . Thanks
None-of-the-above,Nice  speech
Homophobic,This is actually Disease ....
None-of-the-above,"naveen vnk , I was not taught 'homosexual science' in my school kid..  Are they teaching that to you?"
None-of-the-above,"Beautiful, dono wat to say...."
Hope-Speech,Super bro transgender people's are very good and pure hearted person 😙
None-of-the-above,Very nice and faith
None-of-the-above,Sharath S yes...a big thumbs up...
None-of-the-above,Thanks for the video mani brother.. 🙏🙏
Hope-Speech,Your acting was awesome bro... ; Very soon you will get cinema chance
None-of-the-above,ABHISHEK RAM  ; Yes I am.😁 I love Chitra Chechi❤️
None-of-the-above,Y this kinda classic films are not coming in theater
None-of-the-above,Latif &harish acting super
Hope-Speech,Semma action bro
None-of-the-above,Nishanth Akash  section 377 is not only a good message but an awesome one this law criminalises consensual intercourse between two people saying it is against nature. I wanted you to google what this was because you didn't know. Also medical science reports are based on medicine. Rape is rape regardless of the gender and sexuality but section 377 had nothing to with it. Period.
None-of-the-above,Hi bro its nice to here your experience....ur insta id bro
None-of-the-above,"nice to see sir!; each and every word is true...; they act well!; script, dialogues, music as well as silent, lighting, location, colour etc... everything is done by you is excellent sir! வாழ்த்துக்கள்!!!"
Hope-Speech,Brothers ur acting is awesome ...transgender kindness veralevel ..god bless
Counter-speech,We have treat all as humans
None-of-the-above,Anupama should be given award fr this movie
Counter-speech,Respect brother🥺♥️.guys you are the best...best prank with beautiful message..some people are treating them as a sex material..but they are like us...pure soul♥️tears rolling....ohh boy vera level mamae nenga🔥avangalu namabala mathri nu purinjukita inga yaaru kasata pada theva ila💯🙏
None-of-the-above,Disturbance of the fly was funny....
None-of-the-above,I very much liked this movie. Fist of all a great hug to the director and the two boys. one more heart touching line no matter whoever you are Love is Love. Hats off to you dear
None-of-the-above,Love is not a thing. Love is love . Don't force anything . Love is love
None-of-the-above,Meera mitun than trans.. she is beautiful
None-of-the-above,super ah pesureenga. Like u very much. Interest to meet u
None-of-the-above,Makeup by Yesu  ohh i didn't. Hv any e. Mail id no face book acnt can i talk. By mob pl tnanks for ur. Rply
None-of-the-above,"Are you real , you must read about Islam brother . It's perfected don't fall into satan's little tricks"
None-of-the-above,it adhu but anaal really she has acted nicely 🤗great speech by malini😊
None-of-the-above,She is sooo beautiful 😍😍😍😍
None-of-the-above,Indian culture always mentioned about homosexuality... these guys should read the history first...
None-of-the-above,Lovely speech malini..... Luv u lot.... Am your biggest fan.........
Counter-speech,கவுண்டன் கெத்து .. Dude it’s not culture .. it’s conservative.. try to understand that difference between two ... you know even in Tamil literature talk abt gay relationship.. ; ; Ok I also want to live in so called cultured India.. do you have any solution for me to turn cultured...
None-of-the-above,Appreciating you for chosen this topic....
None-of-the-above,Semma acting thalaiva🤣😂🤣😂👍
None-of-the-above,Either to motivate other trans people or if it is not mentioned she is exactly looking like girl but voice is different know so comments would be bad..title la potuta better ilaya
None-of-the-above,Thank you so so much for uploading this movie....been searching for this movie..😍😍
None-of-the-above,Always be happy
Hope-Speech,Bro everyone have they own right even lisbean have right too 👍 god bless you 🙏👍
None-of-the-above,She is a good hearted person i can see the caring heart of a mother 😢😫
None-of-the-above,Really she is so beautiful
None-of-the-above,"Royal Queen  Even if Indians forget these things, western ppl will save it...its not saving its stealing.I have seen many women controlling their husbands..Only women like you create a false image like this.. nowadays girls are over attitude.Its only in social media,that you could see this type of commnts.Even if someone abuses us with words liie like the** pai* r talk bad abt our mom,we would beat them.Since these words became like casual wrds,its coming out of our mouth easily..Women r cunning and dominant too,so don't create a drama here."
Hope-Speech,Yes we’re so gay and we’re always gay
None-of-the-above,judgment is based on scientific facts
None-of-the-above,Very good ... Inspiration speech
None-of-the-above,History of islam!!!
None-of-the-above,Lots of respect to our sisters
None-of-the-above,When is second part
None-of-the-above,"Madan bro do a video about 13 secret society families,their decendents,plans etc"
None-of-the-above,In our street we have homosexual couple... but no one speak to them... Sometimes they are violent... understand misunderstanding happens.. but one dares to go and solve Bangalore.
None-of-the-above,Will u appreciate and allow it to your sons and daughters?
None-of-the-above,A perfect slap to those ppl... wonderful speech👌👌👌.....
None-of-the-above,Bro this also a sin
None-of-the-above,Latheef action  super. Really he loves hareesh.. ; That effect  we are getting
None-of-the-above,One of d great n emotional movie .... Awesome concept.. congratulations director...
None-of-the-above,Ncroad Trincomalee are you a girl.. comment based on this video 😉😉😉
Hope-Speech,Vere level......  Nice prank..... Nala varuvinga by  tmp army
Counter-speech,True hearted true soul..❤️❤️❤️❤️❤️❤️that akka shows ❤️ real love and care
Homophobic,"There is a saying EVE CREATE FOR ADAM ,,,,,BUT NOT STEVE CREATE ADAM"
Hope-Speech,Sister don't worry.God bless you.
None-of-the-above,Thank you for ur loving❤.. 5 years age you was taken this film.. but am seen today only..
None-of-the-above,Wishing the same love effort and acceptance....... Thanks to strong characters story writer and director.
Hope-Speech,"Shrinivasan Kannan  This society accepts LGBT, I accept them for what they are."
None-of-the-above,every Transwomen needs the identity called women try not to mention trans and separate them.
Homophobic,If hungry eat only food not dung
None-of-the-above,Hey very nice
Counter-speech,It's so hard to b gay  ; He is not different from other sons; Society makes them to feel different! ;     Yes! I would definitely say gays are different!! Bcoz they won't ask anything more to his parents like a normal kid ; They just expect acceptance!!! From their parents ;      Parents! Stop being soo rude to ur gay sons!! There are two genders with multiple sexualities ;    Plz let accept it 🙏
None-of-the-above,Wow! A Tamil film dealing LGBT issues! How amazing and a happy ending too!
Homophobic,Don't give freedom for this type people ... Wast very bad culture
Hope-Speech,Support to Lgbtq community and humanity
Hope-Speech,Wow 👏...! Hart of you .. bro
Hope-Speech,Vera leave bros .I really appreciate you
None-of-the-above,Pon namer sent me pon namer
Hope-Speech,Jesus loves for you
None-of-the-above,"It's not Article 377, it's Section 377 of Indian Penal Code"
None-of-the-above,Akka fan of u
None-of-the-above,She exactly looks like a female
None-of-the-above,yeah yeah yeah find a life in a butt hole
None-of-the-above,"ARJUNE VASANTHARAJAN If you don’t acknowledge the gender issue, how will you resolve it? ; This video is a good start."
None-of-the-above,Speech Very important good😎 love it bro
None-of-the-above,Why do you put the title as transgender? For views?
None-of-the-above,Anna waiting for fun🤩🤩🤩
None-of-the-above,what an altitude
None-of-the-above,Hi; Hello 👋 WhatsApp number
None-of-the-above,I'm in Bangalore bro I see all you are videos  so good bro big fan of  you are team all the best for your success  Thalapathi verian 😘😘
Homophobic,"If you note carefully, the IT people are accepting it, means this is what the IT has given us. In my view Indian Govt should feel ashamed of such culture spoiling judgement... BJP must object and file a case against the Judgement, otherwise the coming generation will not forgive us..."
None-of-the-above,"Society is celebrating IPC 377 decriminalisation, where intercaste marriage is still a taboo.."
None-of-the-above,Love is a first and never ending words of the whole universe
None-of-the-above,Didn't skip ..... definitely u will shine don't worry ...
None-of-the-above,Bro gym workout paththi pesunga bro
Counter-speech,Heart touching moment .... End super bro... dance super Akka🙏🙏🙏 .... Wait for next part .... Unexpected moments......👌👌👌👌👍👍👍👍
None-of-the-above,who is that's 14 person
None-of-the-above,"Beautiful girl,I don't know makeup items,but good to see make up items"
None-of-the-above,thank you sir we   are also needed support only
Hope-Speech,Super bro new concept wait for part 2
Hope-Speech,Really kind hearted😊real human being...Great💫...And congrats for ur social service🤗
None-of-the-above,Sema acting by the actor who played karthik ...All the best for your future
Hope-Speech,Nice suggestion bro.. needed for whole India itself...
None-of-the-above,Well Explained.. As a human we should understand the each individuals feelings.
None-of-the-above,"This movie completely expressed our true feelings 😍, Thank you team members for this wonderful effort."
Counter-speech,Its their wish we can't blame other's feelings I support LGBT
None-of-the-above,Waste anchor.. channel has to change him for its growth..
Hope-Speech,Surya Trans Kitchen❤  😂😂😂
None-of-the-above,Seriously hats off😭
None-of-the-above,Super give respect to all
None-of-the-above,Respect human that's it
None-of-the-above,One of the most disgusting comments I ever read in YouTube... Vera level bro neenga🤣😂
None-of-the-above,Same problem can also happen with straight guy marrying a woman. What if they fall out of love and get divorced at 37?
None-of-the-above,She is So cute 😍
None-of-the-above,She look gorgeous!💕😘
None-of-the-above,Really this video use me to choose correct choice thanks a lot for your wonderful video 😊
None-of-the-above,Madhurai veeran story podunga bro
None-of-the-above,James Ronaldo .... i will pray dat God will help u to find the answer soon.... bro...
None-of-the-above,Accept my big respect
None-of-the-above,She is not looking like a transgender.  ; She is really beautiful
None-of-the-above,Where about our thalaivar already get 200+ likes
None-of-the-above,Good clarification madan...
None-of-the-above,Hats off Malini!!! Just a classy and sensable talk with great attitude.
None-of-the-above,Bro explain about 7 chakras in our human body and it's power 😇
None-of-the-above,how it will reduce child abuse??🤔🤔
Hope-Speech,Bro antha திருநங்கை vera level. I salute bro. God bless u in திருநங்கை.
Counter-speech,Super bro really great 👌
None-of-the-above,"Nayantara and Sivakarthikeyan worked for KJR Studios. 'Aram' and 'Hero' respectively. You think they get paid the same? Now, I know it's not the same budget. ; You don't see gender in actors? What about supporting actors and extra actors? Are men and women supporting actors getting the same pay?"
Counter-speech,Respect this people ..she is so beautiful
Homophobic,She is giving unwanted example to justify herself.  Opposite poles only attract.  That is nature. ; ; She is the new virus to the further generation. Very bad.;  i will pray for you god bless you.
None-of-the-above,MAYIZH VELAN  u give me Ur number dear we I'll chat
None-of-the-above,u say 99.999 percent we are fools u say all regular people are abusers  I respect u r feeling but not blame all
None-of-the-above,Hatss of brother keep going..congrats 💐💐💐
None-of-the-above,"George Shankar  hey..there is. Nhng prblm in giving a reply..and coming to ur question, as long as my acts or words do not affect u in any way..I m gud.this is my concept of being gd..and I don't think..much Beyond it..i feel there is nothing wrong in praising ur gd side to others and at the same time giving others a chance to pointing our bad side is also acceptable ...Thanks..for u valuable cmnt.."
None-of-the-above,this should be on Netflix / amazon prime .. Good one to educate ourselves. Im lucky like karthick
Homophobic,sattam olungum kudumba amaipum need not and does not dictate who we should fall in love with. stealing and killing is wrong because it harms other people..first of all understand what is right and wrong and why it is right or wrong..... what you are doing is wrong...compelling someone to be the way you want just because it suits your norms is what is wrong.
None-of-the-above,No awareness at India about LGBT....
Counter-speech,I really appreciate both of You.. Comparing Single Tea...
None-of-the-above,I was heart touched when u cry
None-of-the-above,"Briliant movie, loved it a had tears in my eyes, Shows how religion can get in the way of true love, but all turned out in the end"
None-of-the-above,world is becoming bad day by day....
Hope-Speech,prakash s  yes bro every person respect to our feelings
None-of-the-above,Priya S   answer this : if Satan punishes bad guys in kill then how can he be a bad guy
None-of-the-above,My insta I'd search_partner21
None-of-the-above,Annie April you and your stupid theory of how you think gays are child abuser .. even thousands of videos like this will not change your mind set..; ; Try to understand being doesn’t men they will try to sleep with every man they come across their life.. they are just normal like heterosexual...
Hope-Speech,Great...movie...giving lessons all of us love means nt only sex it's consider about those who r surround of us specially our parents...latif n harish good role models they kept there love pure until to parents acceptance....and they also good parents they understood there children....
None-of-the-above,"direction, screen play, latif r so good ,,but the script is too much ,practically its not posible in the life ,,also every one s living for this society and we r all bound with this society"
None-of-the-above,Thanks to Arun Reporter
None-of-the-above,Waiting for part 2 bro😍
None-of-the-above,I support this
Homophobic,They are not male or female..they are some people with mental dosorder
None-of-the-above,Shrinivasan Kannan  I don't need ur mercy! I need u to step away from others life because wat u r spreading is hate!
None-of-the-above,Great bro ❤️❤️❤️❤️❤️❤️❤️❤️
None-of-the-above,I studied very well in this lesson yet I didn't fine any finalize prove still under research this subject ;       Guys if u can plz send finalize proof so we can support
Transphobic,Its our mistake.....if transgender given job and accepted....they wont do this.....namma mela irukra verupula kooda avanga ipdi panalam la ..... we need to change 1st...
Hope-Speech,Very touching talk Sennila. Kudos to your bold approach. God bless you my sister.
None-of-the-above,But u can mention her as Actress Katrina right?!!!🤨🤨 What's the need of mentioning her gender here🤷
Hope-Speech,1st I am laughing ; But that moment 8:00 made my cry😭😭
None-of-the-above,Tq so much for this video..
None-of-the-above,It's  awesome lovely
None-of-the-above,Go back to school and learn to read and write. Then you will understand
None-of-the-above,Please talk about religion transforms bcz many Christian converting mainly Hindus. Some Hindus they do not know about their speciality and converting madly
None-of-the-above,Same wave length
None-of-the-above,I really appreciate your concern
Counter-speech,"raping is illegal because thats harming people ; but there's no harm for anyone because of gay marriages. Just imagine how you would feel when you are forced not to interact with any girl sexually because of cultural reasons, thats how they  would feel too. you wouldn't be talking like this if you were in this situation. You talk all about those cultures but tell me what to do with these people should they not  allowed to be  married ? should they starve until death ? or should they be killed or dumped ?"
Homophobic,If it continue; ; Future generation automatically end; ; ; Only animals live in the country; ; ; Iam not against humanity but this is wrong...
None-of-the-above,I pondered on that as well. But it's necessary to slowly get rid of this taboo surrounding transgenders. At the very beginning of the video the interviewer mentions all the absurdity in showing transgender interviews so far on TV.
None-of-the-above,Your contact number please.
Counter-speech,Nanba Neega Vera Level... lost la great job unga YouTube channel innum vazhalara valthugal...all the best
None-of-the-above,Heart touching movie 🙏🙏💯💯💯💯💯💯💯💯💯
Counter-speech,Always respect transgenders
None-of-the-above,Don't prank with their feelings... She had a good heart
None-of-the-above,You have lot of talent sister you study more and get govt job than people will give you more respect om sai ram.
None-of-the-above,Ntr and mgr politics story
None-of-the-above,Impressed by Malini's points and attitude... Good luck
None-of-the-above,"It's must for transgender; For girls , it's just a right's for them.but for boys it is very bad for my vision"
None-of-the-above,Super acting bro.. u have a good future
None-of-the-above,Malini sister superb your speech I like you and I love you and good luck
None-of-the-above,This is a heart touching prank show ever! You are truely blessed  bro.
None-of-the-above,Bro talk about cyborg
None-of-the-above,Jenkins Jeru  so true thank you for your support
None-of-the-above,You are great sister love you.....💘💘💘🌹🌹🌹
None-of-the-above,Her sound 👎🏻
None-of-the-above,After watching this I feel unknown happiness. Self content is important in everyone's life. Only one time we are living in this world. Our happiness & families happiness contest only one will win.  That's families happiness. Our happiness will  disappear.  Mmmmmm
None-of-the-above,I believe homosexual is the couple who were as the parent for the children  who doesn't have parents
None-of-the-above,"Joseph Benhur  sorry for the late reply, just a few min before only  I saw your reply... Iam waiting for your reply"
Hope-Speech,She Looks very Innocent.God Bless her
None-of-the-above,I don't know how to explain it
None-of-the-above,It's wrong world going to finish
None-of-the-above,She is humble
None-of-the-above,Wow she is so cute 😍
None-of-the-above,A small correction bro...It's not article 377 bro... It's ipc section 377
None-of-the-above,dimple asha Thank you so much. You really made my day
None-of-the-above,Ohh woah  she is a transgender I can't believe it she look like a girl really boys can  confused oh man awesome
