,texts,five
52,Bro Naan Ethum Thappa Sollala Ninga Thappa Puringukittinga Appadi Naan Yethavathu Thappa Pesirunthaa.. Sorry Ennai Maniichurungaa🙏🙏🙏,0
53,Bro vera leval bro nee,0
54,mothala ethu kalacharan sollunga,0
55,Antha akka manasa pathi solrathukku varthaiye illa engeyooo poitanga,0
56,Ne la manusha piravi ya cha,1
57,Ayya white T-shirt! Tamil culture pathi mulusa padichitu pesunga ji!,0
58,@Manoj Nadarajan  yup.. so whuttttt?,0
59,iva oruthi Panna thappukku ellarayum kutham solrathu thappu,4
60,"Mudinja kasu kodunga illana illa nu solunga , adha vitutu meala kaivekkadhanu    eliva peasuna avangalukum kovam varadhana seium !!  Nothing more to say 🤐",4
61,She Is So Beautiful ❤❤❤ ....; 11:06 Bonda Ma3 Iruka Ashiq 🤣🤣,0
62,Oootha aaathhu yathuiku uniku kannna,0
63,Vara level 😉 bro,0
64,@Prem Kumar  hi,0
65,Naa onga channel la entha prank kum parthathu illa aana intha prank a paarthathum onga channel oda mega periya fun aaittain enaku therinjee ongaloda yella prank kaium paakamalaiyai sollurain intha prank maathiri entha prank kum irukaathu neenga prank pannathulaiyai ithu thaan best prank aaa irukum apadnu naa nanaikurain,0
66,Bro supar bro sama sapert in thirunangai,0
67,Bro veara level bro part 2 eppo bro pandriga bro paavam bro thirumathi samma bro Akka romba nallavaga bro,0
68,Love u so macha,0
69,vere vevel  feelings........go on guys,0
70,Adinggg Goiyaala...Neelam oru Rowdyaa...,0
71,Avanga rompa nallavangala irukanga please eni yarum avanga kita poi prank panathinga last avanga kita neenga prank nu sona appuram avanga manasu yavalovu kasta padum nu yosinga 😕😕,0
72,Dei eannoda shares sarija poichcha,0
73,Nalaa kozhappura d alien mandai po d poi ponnu maathiri mudi valathittu va,1
74,ok bro ❤️,0
75,Nalla iruku ga,0
76,Sudharshan AJ why mental your mental man,1
77,Good night sir,0
78,You look more beautiful😍 sis,0
79,"Yow paaka dummy piece ah iruka,, aana sema ya act panriye daa,,,,,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",0
80,Akka enaku thirunangaina rompa pidikum enaku thirunangai friend illena oru Akka apdi yaarum kedaikala  but neenga mass,0
81,Ada paavigala.. Dei idhu unga arabia countries layum iruku da.. sexual orientation education theriama pesradhu thappu.. Un kadavul ku idhu pidikala na avan ta soli idha thaduthu nirutha solu pakalam.. 😂 idhu nature da fool😂,4
82,"Avangavanga vaalkai tanippatta vishayam, freedom irukkanum ellarukkum.,; Kolandaigal:-paasatta kaatrattuku naattula kolandaigalukku panjam ille,namma vaittula porandaada kolandai aagumaa?",4
83,Nanba na Kerala ponnu.; Onga vedio Remba pidichirikku,0
84,ViNu Vinuja Abi !997 nan mudivu irukana thoranthunu irukenanu NE Pathiya ..andha velakkennaya nalla ucham thalaila thechiko paithiyam theliyattum...,0
85,Nalla manasu kadavul antha akka,0
86,Solo pretty 🥰🥰,0
87,so beautiful but voice konjam hard aha iruku soft aha iruntha super aha irukum,0
88,"ithu iyargaithaan ivargal mana alavil aangale ithu iyargai avargalukku kututhathu. en annan (maalini) athai natraagaa sonnaargal. iyargai thaa en kadavul en annan num iyargai pataipe. So, en annanin happy enakum en kadavullukkum makiltchiye.. annaa I fully support you...",3
89,Easy aana case,0
90,bad comments kodukura ovvoruthrkullum aairam kuppai irukum.. atha clean pannitu...apram mathavangala pathi pesunga...,4
91,Benglore LA ippadi kedaiyadhu pa,0
92,loosu koodhi munda modhalla yenn kelvikku badhil solludi oru pennum pennum thangaloda pennuruppa nakkikkiradhudhan unakku sexunna appo kadavul pengalukku maadhavidaya yedhukku vachchar oru aanum aanum thangaludaiya aanuruppa sappikkiradhum aasana vaayila aanuruppa nozhakkiradhumdhan unakku sexunna pinna kadavul yean vindhu yendra ondrai padaikkanum nee yenna kadavulaivida adhigam purinjavala oru penn innoru pennudan sex vaikka virumbuvadhum oru aan innoru aanudan sex vaithukkolla virumbuvadhum oru vagaiyana manachidhaivudhan adhavadhu nee oru mental koodhinnu artham unnoda bodu language modhalla normala irukkannu neeye unna kannaadi munnala ninnu paarudi,1
93,"Vera level bro true love never fails, semma concept",0
94,Mani bro vara level acting bro sama🔥👌🏻,0
95,"Desi Gamer mudhalil manithanai manithanai parungal nanbare, mathathai kondu varathe, athuvum thani nabar virupam",4
96,Ivangalukunu thaniya jail illaiye😋😛😝😜🤪,0
97,intreview adukura amma an nee moonja kattamatraaaaaa?,0
98,Cuddlur distict u,0
99,Transgender : Mariyadhaiku uriyavargal... 🙏 Yaar nu theriyadhavanga nalla irukkanum nenaikkuranga paarunga Kadavul sir 🌹🙏🌹,3
100,"bold answers📓 , manithabimaanam valarkura, erikura oru samugathula entha veri seyalum, vanmuraium  nadakathu, thaiye  pettra kulanthai ya kollura intha manithabi maanam eillatha samugathin karuthukalai yetturukolla mudila , innum evalo nadakuthu atheillam vittutu , karuthurimai ya inga payapaduthurom.  life is too short, avangaluku pudichamaari than erikatume",4
101,@Ayy Ar  enna machi seiyaringa. Romba busya..,0
102,Neenga romba azhaga irukinga sister,0
103,Part2 pod u ga nanba,0
104,Antha  Akkavitgaka  like pannuran 👨‍👩‍👧💑👨‍👩‍👧‍👧,0
105,Venkat Raman ; 9 punda jinjuk poda vanthutan,2
106,Akka love u akka oru Thambi aaa,0
107,Ur acting 🔥 jiii,0
108,Unga  found san members add me,0
109,Unna mathalam venam nee apdithan iruka pakkurathuku,0
110,Velakaran ena follow panrano avan pana slrano ilayo atha pride ninachutu mooditu getukaga follow panra puthi namakita Dan da iruku😁😁😁...Pesura arivu jeevigal lam nalu English putukadha menjitu vanthu insta status potu sutuhura koshtikagal than. Anyway valthukal progressive society sluvinga ena karumami panitu  ponga,0
111,Pichai edukkum thirunangai galey rosathia unga ullsppuuley varey kasukku vangi sapta nyayam.,2
112,Ama unamai sister nice,0
113,media nalla visiyankaluku eppavum irantam tharama than pakkarathu.ithu pola visiyankaluku  highlight panni society melum kelaiye poyutu iruku.pls nall visiyankaluku support pannunga,1
114,God bless you ma,3
115,@Manimozhi P  👌👌👌👌,0
116,"Siva Pradeep.b ,nee adhuva nu sollitu poi paru.",0
117,Super nice pa 😭👍🤝,0
118,Population ketu podium friend,0
119,Sasi Kumar ama bro😂😂,0
120,"swetha k ,boys kitta irruthavathu girls thappika vali irruku,ana unna Mari lesbian Ava kudave uttkarnthu  Ava koodave bathroom poi ,thappu Mela thappu panni chee,vekkama illa panni kuttame.",1
121,Are you tamil,0
122,@sreekanth  well said bro..,0
123,I love you💖,0
124,Nice bro enaku romba pudichi iruku,0
125,karthick mani soothaa modu,0
126,God Bless U Akka💓💓💓💓😍😍😍💓💓💓,3
127,Yenna ithungalukkullaye sandai pottukkuthunga,0
128,😭😭 super akka 😭😭 support puninka frnds thirunankiyika elorikuma support puninka 🙏🙏🙏,0
129,Oruthan Vanthu perusan paru avan athuingkaloda aalatha erupan kandipa,0
130,Ithu pesi vachi panraru,0
131,@shinchan shinchan  eppadi pavam sollenda naan ponnu paiyan endru ninaichukkatha. Antha kadavule shiva sakthiye aravani deivam than. Yaaru sonna pavam endru. Unakku ethavathu distrub agutha.?,4
132,Hii super bro,0
133,U r soo sweet sennila,0
134,"@Ayy Ar  why bro, enna achi  unggalukku.tidirnu message panrata stop pannitinga.ennai pudikkalaiya.etuva iruntalum na unga mela vacha  natpu unmaiyanatu.i am waiting for your message. I love you again my sweet heart.",0
135,Pongada parathesigala it's very very very wrong itha panravanga pichakara karumanga....,1
136,Oda vittutu soothula okkanum ivalungala,2
137,Dai thavidiya paiya unaku vera concept illaya da avangala yan da kasta paduthura ....eacha thumma unaku views subscribe ka yan da dai thaippu da ethu ...,0
138,Eppaditha pannraga na kuda paththu eruka chiii,0
139,I love bixe sex,0
140,Sema human being antha akka.....At a kind heart.....,3
141,Ok mr gay,0
142,No such incidents here at Kerala. Here transgenders are decent.,0
143,Super Anna 👌,0
144,Melting bro really super !!! Thirunangaigal feelings ah apdiye real panirukinga Crying varudhu bro !! Respect Thirunangaigal ❤️,3
145,"@Intellectual Indian  correct ah culture, science & history ah padichutu pesanum thambi..  Arakoraiya padichutu olara kudathu... LGBTQ elame America la irundhu varala.. Athu kaalam kaalama irundhutu dha iruku.. Ungaluku athu theriyala.. avlodha..  & also it's not against nature.. Go and surf it..",4
146,Bro unaku thareyala,0
147,Personal questions ieruku enaku if u don't mine can I talk u,0
148,Andha Amma sonnadhuku meaning rendu per kalyanam panradhu pulla pethukradhu! So kadaisi varaikum onna vaazhradhuku illaya?? Indha comments la andha Amma ku support pannavanga lam idha konjam yosichu paarunga pa! Unga husband oh illa wife ko edho problem la kolandha porakaadhu nu doctor sonna unga husband/wife ah vittutu poiduveengala??,0
149,Enna thalaiva ipdi panita romba Feel panita thalaiva 👌👌👌,0
150,@Anitha Anitha  ethu Eppa d kaama unaru Ahum,0
151,@Chen Nila  call panne,0
152,Praveen kumar naanga apd than...; Nanga tamila ...tamilaum tamil culturayum protect panrathu engaloda duty...,0
153,Kavalaigal maranthu sirikka Tamil Medium Pasanga Channel ❤️........worldaa yarum panni pakatha prank🙏🙏........vera level bro ne😘😘........ waiting part2👍👍,0
154,avinash Rahul Fkkkk off🖕🏼,0
155,Love you so much sisy 😍,0
156,#90's kids mind voice : Ippovey Ponnu kedaika  maatingudhu idhula idhu veraayaa,0
157,Ponnu maathiyea thaanya iruku,0
158,Bro nengga Vera level super bro👍👍👍,0
159,Semaaa... Thirunangaigal mela migavumariyadahai ulathu...,0
160,Negal unga life unga virupapadi valunga..athu than magilchyai tharum,3
161,Thirunangai ku erukura manasu yaruku eruku,3
162,Thala vali ipa woraiyur layum,0
163,@Vishwa  apdingala sir ..semma shocking news pah..,0
164,"@Ayy Ar  chellam neraiya tadava no anuppiten dear, en vantu  seramaddutunu teriyala. En no sent panna maddutu,ore kulappama irukku machi.",0
165,Akka ungala madhiri oruthavangala na en valkaila paathadhey kidaiyadhu neenga romba nalavanga akka neenga unmaiyavey ninga oru ponnu dhan enakku aluga varudhu akka,0
166,video super lastla helping video kaga I'm new subscriber Bro. 😍,0
167,Yoooo vera level ya 😢😢😢,0
168,Kolai Seibavan Kooda avanukku oru niyayam vaithiruppaan. Adhanaal avan seivadhu sari illai.,1
169,Prabhu yethuku ipdi vilunthu vaari varaan 😂🤣,0
170,Tq bro 😁,0
171,Andha akka ungala samy nu sonnagala ana unmaiya andha akka manasukku avnga dha Samy neenga dhan avangala Samy nu kupudanum,0
172,Anna neega nalla hard work pannrainga kandippa periya screenla Vara all the best,0
173,Enna pa muslim christian hindhu yella solli yachu,0
174,Ippo kandu pudich enna Panna poringa🙄,0
175,Definite aah Na oru transgender aah adopt pannuven... illa enake oru transgender babe porandha kandipa valapen,3
176,"Akka,ningge semme cute n alagu kaa..😘😘😘😘🤗🤗😘🤗😘🤗",0
177,Pesurathula nallatha irukku aana pesura visayamtha nalla illa,0
178,Akka nenga ella roomba pavam akka 😭😭😭,0
179,Ne mulaia katikitu va nu koopduva,0
180,"swetha k ,ethanai kovil sirpathula irruku,ore oru madabam la irruku...; Ana kovil sami appadi illaye , Ella kovil layum appadi illaye..?",0
181,Malini super speech pls Malini uaga partner yaru we want see him bcos neaga paka so blodness,0
182,God bless u akka,3
183,Super bro 💪,0
184,anbana nanbargale homo sex pathi dan pesureenga padukura vishayam matum dan life ahh sollunga nalla natpudan life long irukalam iduku udal uravu avasiyam illai ada yen oor ina serkaya pakureenga namma ennangal ore madiri irunda podum nan enna solren appadina kamam ma pakama irunda podum,4
185,"Super macha ,avungalkkum nalla ethayam erekk",0
186,@Ayy Ar  i thing code nombar join seiyanumnu ninaikiren bro.,0
187,Intha saniyanaaa pethavaluku sorgam kedaikaathu ithu kutti sevura porathu pathaama elaarayume kedukuthu,1
188,Super Nenga semaya pesaringa,0
189,Akka nega nala irukanu love u,3
190,Ipdi oru channel na Vaal naal la paathathu Ila.. harts of guys... And intha video paatha aprm  Thirunangai avanga Mela oru Mariyathai vanthuruchu.. 🙏🙏 Nenga nalla irukanum Amma 🙏🙏👍👍,0
191,@Manikandan Govindhaswamy  Mon kita sonnen,0
192,Avarun Sivam unakku apdii oru kolandha thaanda porakkum apo kandu pudii ponna paiiyananu otha chiii unarvugal la purenjukadha kaatuu mirandii mirugam kaminatti,0
193,@rajeshs  OK da,0
194,Yedukurathu pitcha ithula thimuru vera ivanguluku,0
195,"Bharath kumar Nee palanikke paal kudam yeduthalum,  Andha ponna crct panna mudiyadhe...... 😂",0
196,Aravanikalai odukka vendum....romba pannuthunga,2
197,"Nice thiru nangai,",0
198,1:19appo athukkuthan unkalukku ponnunga theva illaiya sir,0
199,Super bro eppo prank panrannu sollittu love lettar aha thookittu ponnungala kindel panrathu comedy ngra perla  erichal adaya seirathu ellama neenga difrenta pannunga bro all the best,0
200,Dislike panna epdi tha manasu varudho 😏,0
201,Poda hiv vantha naye . Dai evanugala petti edukara ungala thanda first adikanum. Enamo ulaga sathana panna mathiri pesitu erukan . Vaila nalla asingasiga varthu intha video va first youtup la erunthu edungada  ....,1
202,Avanka pavam Nama Avankalukku yethachu pannanum but Nalla thirunankaikku,4
203,I love you so much da 😘😘😘😘😘,0
204,Vera level thirunagai oda thaai pasam idhan kashtam onu na vitutu than povanga normal ah iruka manushan kuda help pana maatan dedicate to all thirunagai pls respect panuga kevalama pakathiga,4
205,Super di chellam,0
206,@Ayy Ar  wow appadiye vayileye adichi vidunga.fulla kudicci mudicciduren.semma tast  machi.enakkum  ippo viliaga pogutu dear.,0
207,Pode thevidiya Munda.. kaalaacharatha keduka vandha naai. Tamil manoda arumai theriyama pesitu iruka. Idhu iyarkaiku against aana vishayamum kooda. Periya thyagi Mari pesuraa. Poi ungomaa kooda lesbian iru.,1
208,Alugaiya varuthu anna avanga la mari uruvathula kadaval irukanga😭😭😭😭😭,0
209,UNGA AMMA ENNORUTHA AMMAVODA SEX KAAGA IPA OODI PONA OK VA .ILA COURTLA POI UNGA AMMAVAIUM ENNORUTHAVANGA AMMAVAIUM SEATHU VAIPIYA,1
210,Super super speech akka 💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡💛🧡,0
211,Vendam verupa show pandra mari pandran entha aalu ..serial actress ah iruntha vera mari pannvaru ..,0
212,Yov part 2 yeppoyaa varum,0
213,jaf ran  support pandravanga ellam gay illada mental,4
214,Super ya ...rompe help panunka rompa nalla irupinga,0
215,Yaandi pottaigala unga rendu groupku sollaren adaavadi venaam,2
216,"@Ayy Ar  kanji out agum botu  ulla sugam,wow solla vartaye illa bro.",0
217,Supper thalaiva vera level,0
218,Azhaga iruka ma,0
219,Pooda thevdiya potta punda,1
220,Transgender nu Sonna namba mutiyala pa aptiye she is looking for girl😱,3
221,ivangalaa   police la   pidichikodukanum,0
222,Inthu avangaloda feelings ungaluku la easy solitu poiduvinga ivory feelings evlo vali yodum vethaniya erukum super sir I love this movie,4
223,@Ananya Annu  tnq sister,0
224,Vera level Anna nee semma men women thirunangai nu Thani Thani ya pirichi pesama irunga we all r human.........hands of u TMP,0
225,Super g semma illathavanghulu kutunga avanga pavam avanghalu sapatu potunga g,0
226,Always transgender... good human,3
227,Enake azaga varudu 😭😭😭😭😭,0
228,"Kuda poravanuga full ah ombodhu pasanga la da ,..adichu verattama pongal thinna mathiri ukanthu irukanuga",2
229,Mapla totally dif da avanga manasa pakkumbodhu kan kalangitenda ❤️,0
230,Anna Avanga Really Great Anna Yarune theriyadha ungaluku avanga avalavu Help panni irukanga kandipa Avanga Great anna,0
231,Broooo first time I seeing your video ......love you brooooooooooooooooooooo,0
232,Super Anna 👌,0
233,Judge sir avana nee😂😂,1
234,Epdiyo poi tholainga !!! Ipo unak enna vaenum sex pananum panika !!!,1
235,Meera mitun is a transgender??,0
236,Ada thiruddu naye,0
237,I love you so much❤❤❤,0
238,Police dvd pasangaluku ithuellam kannuku theriyatha,0
239,Cheeee ipad oru news pakurathe kevalam 🙄🙄🤗🤗🤗🤗,0
240,"@Ayy Ar  no dear, don't thing about that,nettu malaiyile nanaingiccutten bayangarama fivar maramatiri irunttatu.atan nalla paduttu tungitten.ippo OK.uyir pirintalum unai piriyata varam onru peravendum.atutan unmaiyana natpirku adaiyalam.i miss you so much, I love you baby. Why bro unga kuda chatpannikittu irukkum bote full temp agi moodagidutu.unga kitta appadi oru kanta sakti irukunu ninaikiren.velaiku kilambiyacca machi.",0
241,She doesn't look  like  transgender,0
242,Anna nenga nalla irukkanum anna,0
243,vera level bro naanum unga channel uh subscribe panite enooda frnds ellaarum subscribe pannitaanga,0
244,entha matheiri 9pundaikala serupala adikanum😠😠😠😠,2
245,@vijay visvasi  macha avan gay thevidiya da😂😂,1
246,Bro i am your new fan,0
247,Climax vera level bro👏🙌,0
248,"@top romance and comedy movie station   veetoda mapillai thavaru illai but laziness kaga veetoda mapillai ah irupathu, pethavangala paarthukama irupathu, koncham kooda self-respect illama avanga thittuna kooda atha ethukuven enbathu ellam thavaru , male or female self respect mukiyam and veetoda wife onnuna veliya velaiku poraanga illanalum veetil velai seiraanga, itha ethuvum Seiya maaten kadaiku kooda poga maaten enbathu too much.; And inga irukum maamanar yaarum avanga ponnuku varan thedura mathiri theriyala, avanga business ah paarthuka salary illatha oru aal velaiku venum enbathu pola pesuraanga. This is not good to a family.",1
249,Evlo alaga irukanga,0
250,Machi onku Apo ellam ikada; Size ethanada,0
251,@karthika Srinivasan  semma,0
252,@Dinesh Siva  neenga share pannunga.. Apdi illana eennoda mail id ku number share pannunga.. Ennoda id selvakumarbe69@gmail.com,0
253,@s.ravikumar s.ravikumar  illa bro Enna bro neenga neengala hii solitu gay van kekurinka I am studying college bro Nan gay illa bro,0
254,Vareyy vareyyy ......maja majaaaaaaa😎😎🥳🥳,0
255,Nithin Raj sema ji sariya soniga,0
256,Ungaluku theriyathu sister ethanayo per ungakita aasirvatham vanganunu nenaipanga sister apditha nanum nenapen so don't feel,0
257,Un num send pandri,0
258,Appo modi pesuratha ketta avanuku vote poduviya? Nithiyanath video patha  nithya devotee ayuduviya?,0
259,@Saran Tej  ama yes,0
260,@Silabarasan Gurunathan  hai dera friends how are you  unga number sollunga babu.g,0
261,Nan ketavan dan ana indha mari kevalamanavan lam ila .....evlo age varaikum dee otha lesbian panva sollu ?? Homo sexual panrathu la ena inbam otha mental .......nee ena perumaiya knowledge  person ah irundalum periya iduva irundhalum thavaru thavaru dan ......40age la unkuda 40age aunty varvala ?? 60 age la uai kapatha 60age patti kuda irupangala ?? Rape panran avan tappu dan apo avanai manikalama ?? Apdidan neyum otha,1
262,😂Akash how r u,0
263,We support LGBT,3
264,I am for next part bro...,0
265,Well said bro,0
266,Ok anna nanum varen yenkum vedio panaum pls ok va anna,0
267,En opinion ennana nee semaya irukka un phone number thariya palagalam😅😍😘,0
268,That's okay 🤗❤️,3
269,Keep doing bro ❤️,0
270,Akka neenga veera level enakku aluga varudhu akka neenga romba romba nalavanga innimey ungala maadhiri na yarayavudhu paathana na ennala mudunja help pandra akka,0
271,Podi punda. over scene podura punda,0
272,Sikram podunga part 2,0
273,@Arun pandiyan  dei anna... Naan ennoda comment sonen athu Evan kittayum kekanum nu avasiyam illa... istham iruntha padi illena unnoda velaya paaru,0
274,"swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku.",1
275,Otha saavadikkanum ivangalai.,2
276,appo unna tha first adikanom,1
277,Bro sapadu kudukureenga k but dont take video,0
278,Anna video vera leave anna,0
279,Latif character superb❤️....,0
280,Namma entha uthavi yaruku senjalum valathu Kai kodupathu idathu kaiku theriyama uthavi senyanum neenga ellarum uthavi seirangura Perla video eduthu podurunga athuku seiyamale poidalam,0
281,unmaithan.namma Bible la kadaisi nal la yennalam nadakum nu yesappa sonagalo athuthan eppa nadakuthu.ethuku enna adaiyalam na yesappa mendum pumikku  vara poranganu than adaiyalam.,0
282,Thevvam ma niinga,3
283,Avanga ellam kadavul mathiri anna,0
284,Muthulakshmi muthulakshmi Eroad enna ungapppa vanguna ur ah ila ni poitu vanguna ur ennamo kevalama pottuiruka mariyathaiya comments podu ponu pakurn Ilana naridum mind ur words,0
285,Intha maariye oru jenmam irukkunga,2
286,AnbinalA S H Thala Sema 😆,0
287,"dai elumpa, nee oppose pannatha kooda vitralam. unku neraya propose varuthunu soltra pathiya...  athu than universal lie. nee pakka manusan mariye illa thevaangu...sappa piece da nee.",0
288,thirunagai arajagathai ollikanum,2
289,Gud soul ❤,0
290,We are here for u sister 🙏,0
291,Akka nega 100 varusam santhosama erkanum akka,0
292,Ungal vazhkaila enimel happy a mattume kadavul tharanum vendikkura sis,3
293,@Prince Vegeta  aprom ennode gf eh vere yaaraacchum kalyaanam pannattum nu Vida soldriya....Nara Bali kudukkurathaiye otthukkure manushangga irukkurappo.... lgbt eh accept pannikkiravanggga mattum irukka koodaathunaa epdi?,0
294,sowmiya kirukki me too,0
295,"Thappudhaan matra uyirinamgal kadavul vdhipadi vazhndhukittu irukku aanaal manithargal kadavul padaipai udhaaseenapadudhra maathiri vaazhraanga ,idhanaal inimel ulla, thalaimuraigal muraiya thrumanam seithu vaazhradha kevalama nenachiruvaanga thavaraana theerppu, thavaraana vazhikaattudhal",1
296,Neenga ethinayavathu varaikum padichu irukinga nu therinchukalam ah,0
297,nanum ungla mathuri opena yaranalam peasirva i love akka nanum ungla mathuri sathikanumnu aasa akka enakka pray panunga akka,3
298,Number thevidiya laatum pesara,2
299,Coimbator la sollunga bro,0
300,🥺🥺🥺🥺🥺 super akka.......🙏🙏🙏🙏🙏🙏,0
301,Wow ungalukellam evlo arivu... ponga vera engavadhu arivaligal maanadu nadakum anga poi ee ottunga,0
302,Yen da public ..vedekkareaa pasanga thaaan 9 b; Veeda  kevalam...,2
303,m.v.rajesh kumar Kumar what's against nature?,0
304,Uralum uralum urasinal semaya erukum,0
305,Hi I am gay,0
306,Seriously na pathale payapduva ivagalala ana intha video avaga katra paasam kan kalanga vechiduchu😭😭😭,0
307,Yenna Da ipdi asinga paduthiruku neeyum vekkamea illama nikkira😂😀😀😀😂😂😂😂,0
308,Mariyaathayaa solra keli pannThiga okvaa,4
309,avar avar unarvuku mathipu alika vendum....,4
310,Naalaiku unga ponnu lesbian ah erundha endha Samoogam eppadi tha unga rosaa va Saadum...,0
311,Super anna    all thirunangkai Akka ammaukkum ennudaiya👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👌👌👌👌👌👌,0
312,Super akka👍 nengalum nallarukunum....😭,0
313,Ada chi saniyane po mental koodhi ....aambalaimga maathi maathi pool eh sappikonga pombalainga maathi maathi koodhi eh nakkikonga......vidhai epdi poda mudiyum kolandhai epdi porakum....idha ulagathila namba Onnu eh epdi vittu povom arivuketta naaye..; ; Idhalam oru pozhappu idhuku otha Periya pool Maari explanation chi thoo...; ; Naadu nakkinu dhaan po podhu,1
314,Anna supera panringa,0
315,Payanukum ponukumay unaku vithaysam therlayea da,0
316,"Hooo my God , love you akka 🙏🙏🙏",0
317,Naa drawing nalla pannuven.. makeup la romba interest and dance poven..aprama naa alangaram koviluku senjitu irundhen ippa naa transgender ah irukuradhala yarume yenna kupda mandukanga romba kashtama iruku ... Naa idhanalaye 26 thadava susaide try panniten but andha kadavul yen uyira yedukala ... Yenakunu oru nalla job irundha naa kandipa vazhuven .. Oru veetu vela senji kooda naa vazha aasai paduren ... Pls yen thiramaya yennala veliya kondu vara mudila yarume yenaku support panna illa... But I really hate this life ... Pls help me ... Naa pitchai yedukavo sex work pannavo virumbala.. Naa yedhachum vela senji vazhanumnudhan aasa padurenga ... Idhe maari niraya Thirunangai avanga talent ah vilipaduthama irupanga avangalukum help pannunga .. Yengaluku oru nalla work kodunga naanga nalla senji kodupom.. Promise pls support sir and mam... This my small request... Yedhum thappa type pannirundha I really very sry.... By harini priya thirunelveli....,0
318,Nap queen na,0
319,Tamilan na Accept panika mudiyadha ?  Andha naaya adichu kollunga,0
320,Bro; Avagga kitta prank show apdinnu solla laya??,0
321,Also iam gay all guys ellarum engalukku support pannunga❤️❤️❤️,3
322,Selfies girl... romba Chellam,0
323,Andha grey t shirt full hand ku manasula periya aan azhagan nu nenaipu !!!!! I support lgbtq ;D,3
324,Thalaivi மீரா மிதுன் oda handbag secret reveal pannunga bro ulla kathi kadapara irukum,0
325,inime velayattuku kuda ipdiyella pannadinga nonsens,0
326,First Anda Allu ena varthai kettan first podungada.  Ivanga pesuratha mattum eduthu iruga,2
